Period,OpCode,total_biomass,biomass_kg_ha,Location,Site,Year of Adoption,Status
KAD_FIGO_Transect 4,KAD_FIGO,11323.335697901,452.93342791604005,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 5,KAD_FIGO,13442.334763018025,537.693390520721,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 6,KAD_FIGO,9411.32120498623,376.45284819944925,Kadavu,FijiGold,2000-2004,LMMA
KAD_LUPE_Transect 1,KAD_LUPE,13344.180728209856,533.7672291283942,Kadavu,Lupes,2000-2004,LMMA
KAD_LUPE_Transect 2,KAD_LUPE,7996.179274699292,319.8471709879717,Kadavu,Lupes,2000-2004,LMMA
KAD_LUPE_Transect 3,KAD_LUPE,5226.710935920445,209.06843743681782,Kadavu,Lupes,2000-2004,LMMA
KAD_LUPE_Transect 4,KAD_LUPE,10703.933211502288,428.15732846009155,Kadavu,Lupes,2000-2004,LMMA
KAD_LUPE_Transect 5,KAD_LUPE,6006.230443606121,240.24921774424485,Kadavu,Lupes,2000-2004,LMMA
KAD_MaiDive_Transect 2,KAD_MaiDive,5815.582139967125,232.62328559868502,Kadavu,MaiDive,2005-2009,LMMA
KAD_MaiDive_Transect 3,KAD_MaiDive,15653.142482254894,626.1256992901958,Kadavu,MaiDive,2005-2009,LMMA
KAD_MaiDive_Transect 4,KAD_MaiDive,15108.00862194856,604.3203448779424,Kadavu,MaiDive,2005-2009,LMMA
KAD_MaiDive_Transect 5,KAD_MaiDive,5035.650028064936,201.42600112259746,Kadavu,MaiDive,2005-2009,LMMA
KAD_MaiDive_Transect 6,KAD_MaiDive,9613.782170615894,384.5512868246358,Kadavu,MaiDive,2005-2009,LMMA
KAD_OnoBack_Transect 1,KAD_OnoBack,4003.732313676903,160.1492925470761,Kadavu,Narikoso,2005-2009,LMMA
KAD_OnoBack_Transect 2,KAD_OnoBack,4665.088163636692,186.6035265454677,Kadavu,Narikoso,2005-2009,LMMA
KAD_OnoBack_Transect 3,KAD_OnoBack,4288.5246553013285,171.54098621205316,Kadavu,Narikoso,2005-2009,LMMA
KAD_OnoBack_Transect 4,KAD_OnoBack,1707.2555149828397,68.29022059931359,Kadavu,Narikoso,2005-2009,LMMA
KAD_OnoBack_Transect 5,KAD_OnoBack,4466.886415190741,178.67545660762966,Kadavu,Narikoso,2005-2009,LMMA
KAD_ROB_Transect 1,KAD_ROB,5503.267894701094,220.13071578804374,Kadavu,RobertsReef,2000-2004,LMMA
KAD_ROB_Transect 2,KAD_ROB,6323.436178110668,252.93744712442674,Kadavu,RobertsReef,2000-2004,LMMA
KAD_ROB_Transect 3,KAD_ROB,4753.42462554917,190.1369850219668,Kadavu,RobertsReef,2000-2004,LMMA
KAD_ROB_Transect 4,KAD_ROB,4327.020976389277,173.0808390555711,Kadavu,RobertsReef,2000-2004,LMMA
KAD_ROB_Transect 5,KAD_ROB,17607.031876945304,704.2812750778122,Kadavu,RobertsReef,2000-2004,LMMA
KAD_SO1_Transect 1,KAD_SO1,8687.954824451464,347.5181929780586,Kadavu,Soso1,2005-2009,LMMA
KAD_SO1_Transect 2,KAD_SO1,6902.819488342325,276.112779533693,Kadavu,Soso1,2005-2009,LMMA
KAD_SO1_Transect 3,KAD_SO1,3573.927031615593,142.95708126462372,Kadavu,Soso1,2005-2009,LMMA
KAD_SO1_Transect 4,KAD_SO1,5924.927056537311,236.99708226149244,Kadavu,Soso1,2005-2009,LMMA
KAD_SO2_Transect 1,KAD_SO2,2497.357039865987,99.8942815946395,Kadavu,Soso2,2005-2009,LMMA
KAD_SO2_Transect 2,KAD_SO2,929.4593003204861,37.178372012819445,Kadavu,Soso2,2005-2009,LMMA
KAD_SO2_Transect 3,KAD_SO2,3071.803442711783,122.87213770847133,Kadavu,Soso2,2005-2009,LMMA
KAD_SO2_Transect 4,KAD_SO2,2140.0944477038615,85.60377790815447,Kadavu,Soso2,2005-2009,LMMA
KAD_VURRO_Transect 1,KAD_VURRO,4461.593653685782,178.46374614743127,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 2,KAD_VURRO,9730.16608745757,389.2066434983028,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 3,KAD_VURRO,8905.424219863671,356.21696879454686,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 4,KAD_VURRO,4213.938941938893,168.5575576775557,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 5,KAD_VURRO,10559.704887312642,422.3881954925057,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 6,KAD_VURRO,5827.875271663991,233.11501086655966,Kadavu,Vurro,2005-2009,LMMA
KUA_Back_Transect 1,Kua_Back,6054.76175894837,242.1904703579348,Yasawas,KuataBack,Non-adopter,Qoliqoli
KUA_Back_Transect 2,Kua_Back,15706.647086135195,628.2658834454078,Yasawas,KuataBack,Non-adopter,Qoliqoli
KUA_Back_Transect 3,Kua_Back,4908.19846998846,196.3279387995384,Yasawas,KuataBack,Non-adopter,Qoliqoli
KUA_Back_Transect 4,Kua_Back,7471.324994161703,298.85299976646814,Yasawas,KuataBack,Non-adopter,Qoliqoli
KUA_GOAT_Transect 1,KUA_GOAT,10326.15019269732,413.0460077078928,Yasawas,KuataGoat,Non-adopter,Qoliqoli
KUA_GOAT_Transect 2,KUA_GOAT,4916.714197421657,196.6685678968663,Yasawas,KuataGoat,Non-adopter,Qoliqoli
KUA_GOAT_Transect 3,KUA_GOAT,4859.5289472738905,194.38115789095562,Yasawas,KuataGoat,Non-adopter,Qoliqoli
KUA_GOAT_Transect 4,KUA_GOAT,7780.960980978045,311.2384392391218,Yasawas,KuataGoat,Non-adopter,Qoliqoli
KUA_MPA_Transect 1,KUA_MPA,4876.677378767422,195.06709515069687,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_MPA_Transect 2,KUA_MPA,4674.1061540671535,186.96424616268615,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_MPA_Transect 3,KUA_MPA,7576.776532970465,303.07106131881864,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_MPA_Transect 4,KUA_MPA,7387.2062098216,295.488248392864,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_MPA_Transect 5,KUA_MPA,4631.8419703970385,185.27367881588154,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 1,KUA_noMPA,1691.622625821313,67.66490503285252,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 2,KUA_noMPA,1271.8963984927013,50.87585593970805,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 3,KUA_noMPA,3403.5981548578525,136.1439261943141,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 4,KUA_noMPA,1720.3634039993606,68.81453615997442,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 5,KUA_noMPA,632.0918741917344,25.283674967669377,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
Lau_Totoya_BT_Transect 1,Lau_Totoya_BT,8831.906100484035,353.2762440193614,Lau,CoralGarden,2010-2014,Qoliqoli
Lau_Totoya_BT_Transect 2,Lau_Totoya_BT,4285.752088893116,171.43008355572462,Lau,CoralGarden,2010-2014,Qoliqoli
Lau_Totoya_BT_Transect 3,Lau_Totoya_BT,17402.116826077592,696.0846730431037,Lau,CoralGarden,2010-2014,Qoliqoli
Lau_Totoya_BT_Transect 4,Lau_Totoya_BT,4814.227134069011,192.56908536276046,Lau,CoralGarden,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 1,Lau_Totoya_Joe,7402.435138656283,296.0974055462513,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 2,Lau_Totoya_Joe,2713.647073630444,108.54588294521777,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 3,Lau_Totoya_Joe,5561.681130924953,222.46724523699814,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 4,Lau_Totoya_Joe,4491.61899536323,179.66475981452922,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 5,Lau_Totoya_Joe,4952.696907055691,198.10787628222764,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_VanuaBalavu_Transect 1,Lau_VanuaBalavu,1951.703150902095,78.06812603608381,Lau,VBBay,Non-adopter,Qoliqoli
Lau_VanuaBalavu_Transect 2,Lau_VanuaBalavu,1886.3420771131812,75.45368308452724,Lau,VBBay,Non-adopter,Qoliqoli
SAV_GNU_Transect 4,SAV_GNU_2009,4122.328944472924,164.893157778917,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_GNU_Transect 5,SAV_GNU_2009,12878.217111032829,515.1286844413132,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_GNU_Transect 6,SAV_GNU_2009,2626.5060230118756,105.06024092047502,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_GNU_Transect 7,SAV_GNU_2009,7794.871300032325,311.794852001293,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_GNU_Transect 8,SAV_GNU_2009,8347.65711183312,333.9062844733248,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_SLR_Transect 1,SAV_SLR_1909,7315.090180101535,292.6036072040614,Savusavu,SplitRock,2005-2009,LMMA
SAV_SLR_Transect 2,SAV_SLR_1909,3636.284323343946,145.45137293375785,Savusavu,SplitRock,2005-2009,LMMA
SAV_SLR_Transect 3,SAV_SLR_1909,1670.0391791558332,66.80156716623333,Savusavu,SplitRock,2005-2009,LMMA
SAV_SLR_Transect 4,SAV_SLR_1909,7735.085066830108,309.4034026732043,Savusavu,SplitRock,2005-2009,LMMA
SAV_SLR_Transect 5,SAV_SLR_1909,9038.151818624057,361.5260727449623,Savusavu,SplitRock,2005-2009,LMMA
WAI_ALI_Transect 1,WAI_ALI,5401.666450117655,216.0666580047062,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_ALI_Transect 2,WAI_ALI,6459.806132982177,258.3922453192871,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_ALI_Transect 3,WAI_ALI,8803.881974180895,352.1552789672358,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_ALI_Transect 4,WAI_ALI,8593.00931522332,343.7203726089328,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_ALI_Transect 5,WAI_ALI,5364.711673107782,214.5884669243113,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_MYS_Transect 1,WAI_MYS,8882.936289514006,355.31745158056026,Savusavu,MysteryReef,2010-2014,Qoliqoli
WAI_MYS_Transect 2,WAI_MYS,9709.628286495703,388.38513145982813,Savusavu,MysteryReef,2010-2014,Qoliqoli
WAI_MYS_Transect 3,WAI_MYS,8043.168400341538,321.72673601366154,Savusavu,MysteryReef,2010-2014,Qoliqoli
WAI_MYS_Transect 5,WAI_MYS,19504.92164015653,780.1968656062613,Savusavu,MysteryReef,2010-2014,Qoliqoli
WAI_MYS_transect 4,WAI_MYS,11305.316754682815,452.2126701873126,Savusavu,MysteryReef,2010-2014,Qoliqoli
YA_COW_Transect 1,YA_COW,12719.962136798295,508.79848547193177,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_COW_Transect 2,YA_COW,10450.003056150328,418.0001222460131,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_COW_Transect 3,YA_COW,14507.46840938883,580.2987363755532,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_COW_Transect 4,YA_COW,58311.75675064549,2332.4702700258194,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_COW_Transect 5,YA_COW,18534.667020956134,741.3866808382454,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_LIW_Transect 1,YA_LIW,2446.0178625267795,97.84071450107118,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_LIW_Transect 2,YA_LIW,2383.086934550691,95.32347738202763,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_LIW_Transect 3,YA_LIW,2111.239343979434,84.44957375917737,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_LIW_Transect 4,YA_LIW,6772.522982547878,270.9009193019151,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_LIW_Transect 5,YA_LIW,866.4065589448098,34.65626235779239,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_MAC_Transect 1,YA_MAC,14855.264617563489,594.2105847025396,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_MAC_Transect 2,YA_MAC,32460.957599181205,1298.4383039672482,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_MAC_Transect 3,YA_MAC,4605.5256760291995,184.22102704116799,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_MAC_Transect 4,YA_MAC,13896.389140534799,555.855565621392,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_MAC_Transect 5,YA_MAC,8670.92908580625,346.83716343225,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_VAL_Transect 1,YA_VAL,6894.540414811463,275.78161659245853,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VAL_Transect 2,YA_VAL,10944.544318151553,437.7817727260621,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VAL_Transect 3,YA_VAL,6115.9678487060955,244.63871394824383,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VAL_Transect 4,YA_VAL,6936.473132839882,277.4589253135953,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VAL_Transect 5,YA_VAL,4846.51237914255,193.86049516570202,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VUI_Transect 1,YA_VUI,3577.594186321362,143.1037674528545,Yasawas,Vuvui,Non-adopter,Qoliqoli
YA_VUI_Transect 2,YA_VUI,5834.502968276274,233.38011873105097,Yasawas,Vuvui,Non-adopter,Qoliqoli
YA_VUI_Transect 3,YA_VUI,4857.966559989427,194.31866239957708,Yasawas,Vuvui,Non-adopter,Qoliqoli
YA_VUI_Transect 4,YA_VUI,4646.478420432714,185.85913681730858,Yasawas,Vuvui,Non-adopter,Qoliqoli
YA_VUI_Transect 5,YA_VUI,7993.483830689833,319.7393532275933,Yasawas,Vuvui,Non-adopter,Qoliqoli
