Period,OpCode,total_abundance,abundance_ind_250m2,Location,Site,Year of Adoption,Status
KUA_noMPA_Transect 5,KUA_noMPA,54,54,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
Lau_Totoya_BT_Transect 1,Lau_Totoya_BT,193,193,Lau,CoralGarden,2010-2014,Qoliqoli
Lau_Totoya_BT_Transect 2,Lau_Totoya_BT,98,98,Lau,CoralGarden,2010-2014,Qoliqoli
Lau_Totoya_BT_Transect 3,Lau_Totoya_BT,262,262,Lau,CoralGarden,2010-2014,Qoliqoli
Lau_Totoya_BT_Transect 4,Lau_Totoya_BT,134,134,Lau,CoralGarden,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 1,Lau_Totoya_Joe,184,184,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 2,Lau_Totoya_Joe,150,150,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 3,Lau_Totoya_Joe,127,127,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 4,Lau_Totoya_Joe,112,112,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_Totoya_Joe_Transect 5,Lau_Totoya_Joe,163,163,Lau,ReefCorner,2010-2014,Qoliqoli
Lau_VanuaBalavu_Transect 1,Lau_VanuaBalavu,91,91,Lau,VBBay,Non-adopter,Qoliqoli
Lau_VanuaBalavu_Transect 2,Lau_VanuaBalavu,107,107,Lau,VBBay,Non-adopter,Qoliqoli
SAV_GNU_Transect 4,SAV_GNU_2009,214,214,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_GNU_Transect 5,SAV_GNU_2009,321,321,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_GNU_Transect 6,SAV_GNU_2009,180,180,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_GNU_Transect 7,SAV_GNU_2009,303,303,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_GNU_Transect 8,SAV_GNU_2009,237,237,Savusavu,GoldenNuggets,2005-2009,LMMA
SAV_SLR_Transect 1,SAV_SLR_1909,128,128,Savusavu,SplitRock,2005-2009,LMMA
SAV_SLR_Transect 2,SAV_SLR_1909,154,154,Savusavu,SplitRock,2005-2009,LMMA
SAV_SLR_Transect 3,SAV_SLR_1909,59,59,Savusavu,SplitRock,2005-2009,LMMA
SAV_SLR_Transect 4,SAV_SLR_1909,132,132,Savusavu,SplitRock,2005-2009,LMMA
SAV_SLR_Transect 5,SAV_SLR_1909,162,162,Savusavu,SplitRock,2005-2009,LMMA
WAI_ALI_Transect 1,WAI_ALI,165,165,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_ALI_Transect 2,WAI_ALI,102,102,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_ALI_Transect 3,WAI_ALI,154,154,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_ALI_Transect 4,WAI_ALI,177,177,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_ALI_Transect 5,WAI_ALI,156,156,Savusavu,AliceWonderland,2010-2014,Qoliqoli
WAI_MYS_Transect 1,WAI_MYS,101,101,Savusavu,MysteryReef,2010-2014,Qoliqoli
WAI_MYS_Transect 2,WAI_MYS,201,201,Savusavu,MysteryReef,2010-2014,Qoliqoli
WAI_MYS_Transect 3,WAI_MYS,186,186,Savusavu,MysteryReef,2010-2014,Qoliqoli
WAI_MYS_Transect 5,WAI_MYS,259,259,Savusavu,MysteryReef,2010-2014,Qoliqoli
WAI_MYS_transect 4,WAI_MYS,525,525,Savusavu,MysteryReef,2010-2014,Qoliqoli
YA_COW_Transect 1,YA_COW,552,552,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_COW_Transect 2,YA_COW,572,572,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_COW_Transect 3,YA_COW,838,838,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_COW_Transect 4,YA_COW,646,646,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_COW_Transect 5,YA_COW,876,876,Yasawas,YaCOW,Non-adopter,Qoliqoli
YA_LIW_Transect 1,YA_LIW,88,88,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_LIW_Transect 2,YA_LIW,80,80,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_LIW_Transect 3,YA_LIW,86,86,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_LIW_Transect 4,YA_LIW,142,142,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_LIW_Transect 5,YA_LIW,90,90,Yasawas,LittleWonders,Non-adopter,Qoliqoli
YA_MAC_Transect 1,YA_MAC,491,491,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_MAC_Transect 2,YA_MAC,249,249,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_MAC_Transect 3,YA_MAC,302,302,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_MAC_Transect 4,YA_MAC,207,207,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_MAC_Transect 5,YA_MAC,332,332,Yasawas,MantaChannel,Non-adopter,Qoliqoli
YA_VAL_Transect 1,YA_VAL,209,209,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VAL_Transect 2,YA_VAL,280,280,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VAL_Transect 3,YA_VAL,151,151,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VAL_Transect 4,YA_VAL,385,385,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VAL_Transect 5,YA_VAL,338,338,Yasawas,ValiBeach,Non-adopter,Qoliqoli
YA_VUI_Transect 1,YA_VUI,92,92,Yasawas,Vuvui,Non-adopter,Qoliqoli
YA_VUI_Transect 2,YA_VUI,129,129,Yasawas,Vuvui,Non-adopter,Qoliqoli
YA_VUI_Transect 3,YA_VUI,219,219,Yasawas,Vuvui,Non-adopter,Qoliqoli
YA_VUI_Transect 4,YA_VUI,85,85,Yasawas,Vuvui,Non-adopter,Qoliqoli
YA_VUI_Transect 5,YA_VUI,274,274,Yasawas,Vuvui,Non-adopter,Qoliqoli
