"Period","OpCode","total_biomass","biomass_kg_ha","Location","Site","Year of Adoption","Status"
"KAD_MaiDive_Transect 4","KAD_MaiDive",15108.0086219486,604.320344877942,"Kadavu","MaiDive","2005-2009","LMMA"
"KAD_MaiDive_Transect 5","KAD_MaiDive",5035.65002806493,201.426001122597,"Kadavu","MaiDive","2005-2009","LMMA"
"KAD_MaiDive_Transect 6","KAD_MaiDive",9613.78217061589,384.551286824636,"Kadavu","MaiDive","2005-2009","LMMA"
"KAD_OnoBack_Transect 1","KAD_OnoBack",4003.7323136769,160.149292547076,"Kadavu","Narikoso","2005-2009","LMMA"
"KAD_OnoBack_Transect 2","KAD_OnoBack",4665.08816363669,186.603526545468,"Kadavu","Narikoso","2005-2009","LMMA"
"KAD_OnoBack_Transect 3","KAD_OnoBack",4288.52465530133,171.540986212053,"Kadavu","Narikoso","2005-2009","LMMA"
"KAD_OnoBack_Transect 4","KAD_OnoBack",1707.25551498284,68.2902205993135,"Kadavu","Narikoso","2005-2009","LMMA"
"KAD_OnoBack_Transect 5","KAD_OnoBack",4466.88641519073,178.675456607629,"Kadavu","Narikoso","2005-2009","LMMA"
"KAD_ROB_Transect 1","KAD_ROB",5503.26789470109,220.130715788044,"Kadavu","RobertsReef","2000-2004","LMMA"
"KAD_ROB_Transect 2","KAD_ROB",6323.43617811067,252.937447124427,"Kadavu","RobertsReef","2000-2004","LMMA"
"KAD_ROB_Transect 3","KAD_ROB",4753.42462554917,190.136985021967,"Kadavu","RobertsReef","2000-2004","LMMA"
"KAD_ROB_Transect 4","KAD_ROB",4327.02097638928,173.080839055571,"Kadavu","RobertsReef","2000-2004","LMMA"
"KAD_ROB_Transect 5","KAD_ROB",17607.0318769453,704.281275077812,"Kadavu","RobertsReef","2000-2004","LMMA"
"KAD_SO1_Transect 1","KAD_SO1",8687.95482445146,347.518192978059,"Kadavu","Soso1","2005-2009","LMMA"
"KAD_SO1_Transect 2","KAD_SO1",6902.81948834232,276.112779533693,"Kadavu","Soso1","2005-2009","LMMA"
"KAD_SO1_Transect 3","KAD_SO1",3573.92703161559,142.957081264624,"Kadavu","Soso1","2005-2009","LMMA"
"KAD_SO1_Transect 4","KAD_SO1",5924.92705653731,236.997082261492,"Kadavu","Soso1","2005-2009","LMMA"
"KAD_SO2_Transect 1","KAD_SO2",2497.35703986599,99.8942815946394,"Kadavu","Soso2","2005-2009","LMMA"
"KAD_SO2_Transect 2","KAD_SO2",929.459300320486,37.1783720128194,"Kadavu","Soso2","2005-2009","LMMA"
"KAD_SO2_Transect 3","KAD_SO2",3071.80344271178,122.872137708471,"Kadavu","Soso2","2005-2009","LMMA"
"KAD_SO2_Transect 4","KAD_SO2",2140.09444770386,85.6037779081544,"Kadavu","Soso2","2005-2009","LMMA"
"KAD_VURRO_Transect 1","KAD_VURRO",4461.59365368578,178.463746147431,"Kadavu","Vurro","2005-2009","LMMA"
"KAD_VURRO_Transect 2","KAD_VURRO",9730.16608745757,389.206643498303,"Kadavu","Vurro","2005-2009","LMMA"
"KAD_VURRO_Transect 3","KAD_VURRO",8905.42421986367,356.216968794547,"Kadavu","Vurro","2005-2009","LMMA"
"KAD_VURRO_Transect 4","KAD_VURRO",4213.93894193889,168.557557677556,"Kadavu","Vurro","2005-2009","LMMA"
"KAD_VURRO_Transect 5","KAD_VURRO",10559.7048873126,422.388195492506,"Kadavu","Vurro","2005-2009","LMMA"
"KAD_VURRO_Transect 6","KAD_VURRO",5827.87527166399,233.11501086656,"Kadavu","Vurro","2005-2009","LMMA"
"KUA_Back_Transect 1","Kua_Back",6054.76175894837,242.190470357935,"Yasawas","KuataBack","Non-adopter","Qoliqoli"
"KUA_Back_Transect 2","Kua_Back",15706.6470861352,628.265883445408,"Yasawas","KuataBack","Non-adopter","Qoliqoli"
"KUA_Back_Transect 3","Kua_Back",4908.19846998846,196.327938799538,"Yasawas","KuataBack","Non-adopter","Qoliqoli"
"KUA_Back_Transect 4","Kua_Back",7471.3249941617,298.852999766468,"Yasawas","KuataBack","Non-adopter","Qoliqoli"
"KUA_GOAT_Transect 1","KUA_GOAT",10326.1501926973,413.046007707893,"Yasawas","KuataGoat","Non-adopter","Qoliqoli"
"KUA_GOAT_Transect 2","KUA_GOAT",4916.71419742164,196.668567896866,"Yasawas","KuataGoat","Non-adopter","Qoliqoli"
"KUA_GOAT_Transect 3","KUA_GOAT",4859.52894727389,194.381157890956,"Yasawas","KuataGoat","Non-adopter","Qoliqoli"
"KUA_GOAT_Transect 4","KUA_GOAT",7780.96098097803,311.238439239121,"Yasawas","KuataGoat","Non-adopter","Qoliqoli"
"KUA_MPA_Transect 1","KUA_MPA",4876.67737876742,195.067095150697,"Yasawas","KuataMPA","Non-adopter","Qoliqoli"
"KUA_MPA_Transect 2","KUA_MPA",4674.10615406715,186.964246162686,"Yasawas","KuataMPA","Non-adopter","Qoliqoli"
"KUA_MPA_Transect 3","KUA_MPA",7576.77653297046,303.071061318818,"Yasawas","KuataMPA","Non-adopter","Qoliqoli"
"KUA_MPA_Transect 4","KUA_MPA",7387.2062098216,295.488248392864,"Yasawas","KuataMPA","Non-adopter","Qoliqoli"
"KUA_MPA_Transect 5","KUA_MPA",4631.84197039704,185.273678815882,"Yasawas","KuataMPA","Non-adopter","Qoliqoli"
"KUA_noMPA_Transect 1","KUA_noMPA",1691.62262582131,67.6649050328523,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli"
"KUA_noMPA_Transect 2","KUA_noMPA",1271.8963984927,50.8758559397079,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli"
"KUA_noMPA_Transect 3","KUA_noMPA",3403.59815485785,136.143926194314,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli"
"KUA_noMPA_Transect 4","KUA_noMPA",1720.36340399936,68.8145361599744,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli"
"KUA_noMPA_Transect 5","KUA_noMPA",632.091874191734,25.2836749676694,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli"
"Lau_Totoya_BT_Transect 1","Lau_Totoya_BT",8831.90610048404,353.276244019361,"Lau","CoralGarden","2010-2014","Qoliqoli"
"Lau_Totoya_BT_Transect 2","Lau_Totoya_BT",4285.75208889312,171.430083555725,"Lau","CoralGarden","2010-2014","Qoliqoli"
"Lau_Totoya_BT_Transect 3","Lau_Totoya_BT",17402.1168260776,696.084673043104,"Lau","CoralGarden","2010-2014","Qoliqoli"
"Lau_Totoya_BT_Transect 4","Lau_Totoya_BT",4814.22713406901,192.56908536276,"Lau","CoralGarden","2010-2014","Qoliqoli"
"Lau_Totoya_Joe_Transect 1","Lau_Totoya_Joe",7402.43513865628,296.097405546251,"Lau","ReefCorner","2010-2014","Qoliqoli"
"Lau_Totoya_Joe_Transect 2","Lau_Totoya_Joe",2713.64707363044,108.545882945218,"Lau","ReefCorner","2010-2014","Qoliqoli"
"Lau_Totoya_Joe_Transect 3","Lau_Totoya_Joe",5561.68113092495,222.467245236998,"Lau","ReefCorner","2010-2014","Qoliqoli"
"Lau_Totoya_Joe_Transect 4","Lau_Totoya_Joe",4491.61899536323,179.664759814529,"Lau","ReefCorner","2010-2014","Qoliqoli"
"Lau_Totoya_Joe_Transect 5","Lau_Totoya_Joe",4952.69690705569,198.107876282228,"Lau","ReefCorner","2010-2014","Qoliqoli"
"Lau_VanuaBalavu_Transect 1","Lau_VanuaBalavu",1951.7031509021,78.0681260360838,"Lau","VBBay","Non-adopter","Qoliqoli"
"Lau_VanuaBalavu_Transect 2","Lau_VanuaBalavu",1886.34207711318,75.4536830845272,"Lau","VBBay","Non-adopter","Qoliqoli"
"SAV_GNU_Transect 4","SAV_GNU_2009",4122.32894447292,164.893157778917,"Savusavu","GoldenNuggets","2005-2009","LMMA"
"SAV_GNU_Transect 5","SAV_GNU_2009",12878.2171110328,515.128684441313,"Savusavu","GoldenNuggets","2005-2009","LMMA"
"SAV_GNU_Transect 6","SAV_GNU_2009",2626.50602301187,105.060240920475,"Savusavu","GoldenNuggets","2005-2009","LMMA"
"SAV_GNU_Transect 7","SAV_GNU_2009",7794.87130003232,311.794852001293,"Savusavu","GoldenNuggets","2005-2009","LMMA"
"SAV_GNU_Transect 8","SAV_GNU_2009",8347.65711183311,333.906284473324,"Savusavu","GoldenNuggets","2005-2009","LMMA"
"SAV_SLR_Transect 1","SAV_SLR_1909",7315.09018010154,292.603607204061,"Savusavu","SplitRock","2005-2009","LMMA"
"SAV_SLR_Transect 2","SAV_SLR_1909",3636.28432334395,145.451372933758,"Savusavu","SplitRock","2005-2009","LMMA"
"SAV_SLR_Transect 3","SAV_SLR_1909",1670.03917915583,66.8015671662333,"Savusavu","SplitRock","2005-2009","LMMA"
"SAV_SLR_Transect 4","SAV_SLR_1909",7735.08506683011,309.403402673204,"Savusavu","SplitRock","2005-2009","LMMA"
"SAV_SLR_Transect 5","SAV_SLR_1909",9038.15181862406,361.526072744962,"Savusavu","SplitRock","2005-2009","LMMA"
"WAI_ALI_Transect 1","WAI_ALI",5401.66645011765,216.066658004706,"Savusavu","AliceWonderland","2010-2014","Qoliqoli"
"WAI_ALI_Transect 2","WAI_ALI",6459.80613298217,258.392245319287,"Savusavu","AliceWonderland","2010-2014","Qoliqoli"
"WAI_ALI_Transect 3","WAI_ALI",8803.88197418089,352.155278967236,"Savusavu","AliceWonderland","2010-2014","Qoliqoli"
"WAI_ALI_Transect 4","WAI_ALI",8593.00931522332,343.720372608933,"Savusavu","AliceWonderland","2010-2014","Qoliqoli"
"WAI_ALI_Transect 5","WAI_ALI",5364.71167310778,214.588466924311,"Savusavu","AliceWonderland","2010-2014","Qoliqoli"
"WAI_MYS_Transect 1","WAI_MYS",8882.93628951401,355.31745158056,"Savusavu","MysteryReef","2010-2014","Qoliqoli"
"WAI_MYS_Transect 2","WAI_MYS",9709.6282864957,388.385131459828,"Savusavu","MysteryReef","2010-2014","Qoliqoli"
"WAI_MYS_Transect 3","WAI_MYS",8043.16840034154,321.726736013661,"Savusavu","MysteryReef","2010-2014","Qoliqoli"
"WAI_MYS_Transect 5","WAI_MYS",19504.9216401565,780.196865606261,"Savusavu","MysteryReef","2010-2014","Qoliqoli"
"WAI_MYS_transect 4","WAI_MYS",11305.3167546828,452.212670187313,"Savusavu","MysteryReef","2010-2014","Qoliqoli"
"YA_COW_Transect 1","YA_COW",12719.9621367983,508.798485471932,"Yasawas","YaCOW","Non-adopter","Qoliqoli"
"YA_COW_Transect 2","YA_COW",10450.0030561503,418.000122246013,"Yasawas","YaCOW","Non-adopter","Qoliqoli"
"YA_COW_Transect 3","YA_COW",14507.4684093888,580.298736375553,"Yasawas","YaCOW","Non-adopter","Qoliqoli"
"YA_COW_Transect 4","YA_COW",58311.7567506455,2332.47027002582,"Yasawas","YaCOW","Non-adopter","Qoliqoli"
"YA_COW_Transect 5","YA_COW",18534.6670209561,741.386680838245,"Yasawas","YaCOW","Non-adopter","Qoliqoli"
"YA_LIW_Transect 1","YA_LIW",2446.01786252678,97.8407145010712,"Yasawas","LittleWonders","Non-adopter","Qoliqoli"
"YA_LIW_Transect 2","YA_LIW",2383.08693455069,95.3234773820276,"Yasawas","LittleWonders","Non-adopter","Qoliqoli"
"YA_LIW_Transect 3","YA_LIW",2111.23934397943,84.4495737591774,"Yasawas","LittleWonders","Non-adopter","Qoliqoli"
"YA_LIW_Transect 4","YA_LIW",6772.52298254788,270.900919301915,"Yasawas","LittleWonders","Non-adopter","Qoliqoli"
"YA_LIW_Transect 5","YA_LIW",866.40655894481,34.6562623577924,"Yasawas","LittleWonders","Non-adopter","Qoliqoli"
"YA_MAC_Transect 1","YA_MAC",14855.2646175635,594.21058470254,"Yasawas","MantaChannel","Non-adopter","Qoliqoli"
"YA_MAC_Transect 2","YA_MAC",32460.9575991812,1298.43830396725,"Yasawas","MantaChannel","Non-adopter","Qoliqoli"
"YA_MAC_Transect 3","YA_MAC",4605.5256760292,184.221027041168,"Yasawas","MantaChannel","Non-adopter","Qoliqoli"
"YA_MAC_Transect 4","YA_MAC",13896.3891405348,555.855565621392,"Yasawas","MantaChannel","Non-adopter","Qoliqoli"
"YA_MAC_Transect 5","YA_MAC",8670.92908580625,346.83716343225,"Yasawas","MantaChannel","Non-adopter","Qoliqoli"
"YA_VAL_Transect 1","YA_VAL",6894.54041481146,275.781616592459,"Yasawas","ValiBeach","Non-adopter","Qoliqoli"
"YA_VAL_Transect 2","YA_VAL",10944.5443181516,437.781772726062,"Yasawas","ValiBeach","Non-adopter","Qoliqoli"
"YA_VAL_Transect 3","YA_VAL",6115.96784870609,244.638713948244,"Yasawas","ValiBeach","Non-adopter","Qoliqoli"
"YA_VAL_Transect 4","YA_VAL",6936.47313283988,277.458925313595,"Yasawas","ValiBeach","Non-adopter","Qoliqoli"
"YA_VAL_Transect 5","YA_VAL",4846.51237914255,193.860495165702,"Yasawas","ValiBeach","Non-adopter","Qoliqoli"
"YA_VUI_Transect 1","YA_VUI",3577.59418632136,143.103767452854,"Yasawas","Vuvui","Non-adopter","Qoliqoli"
"YA_VUI_Transect 2","YA_VUI",5834.50296827627,233.380118731051,"Yasawas","Vuvui","Non-adopter","Qoliqoli"
"YA_VUI_Transect 3","YA_VUI",4857.96655998943,194.318662399577,"Yasawas","Vuvui","Non-adopter","Qoliqoli"
"YA_VUI_Transect 4","YA_VUI",4646.47842043271,185.859136817309,"Yasawas","Vuvui","Non-adopter","Qoliqoli"
"YA_VUI_Transect 5","YA_VUI",7993.48383068983,319.739353227593,"Yasawas","Vuvui","Non-adopter","Qoliqoli"
