"Species","SpecCode","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","SpecimenType","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"Acanthurus mata",1255,42144,1271,NA,116275,15,32,"TL",NA,NA,15,"unsexed",0.021,NA,3.004,0.98,NA,NA,NA,NA,NA,NA,NA,NA,"nonlinear regression","fresh","off Visakhapatnam / 2014-2014",116275,"356","Sampling was conducted from January to June.",2448,2019-01-10,NA,2019-01-10,NA,NA,NA
"Acanthurus nigrofuscus",4739,6656,4963,412,3807,NA,NA,NA,NA,NA,NA,"unsexed",0.044,NA,2.812,0.99401,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Woleai Atoll, Yap State, 1991",3807,"583","condition factor = 2.726",3,1992-06-14,NA,1994-01-27,NA,NA,NA
"Acanthurus nigrofuscus",4739,6657,4963,412,5525,NA,NA,NA,NA,NA,NA,"unsexed",0.096,NA,2.52,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Northern coast",5543,"598",NA,3,1993-06-19,3,1995-09-18,NA,NA,NA
"Acanthurus nigrofuscus",4739,6658,4963,412,26587,4.5,17.5,"FL",NA,NA,114,"unsexed",0.0301,NA,2.967,0.98406,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-19,3,1998-05-21,NA,NA,NA
"Acanthurus nigrofuscus",4739,6659,4963,412,26849,5.7,16.5,"TL",NA,NA,140,"unsexed",0.0089,NA,3.278,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26849,"638",NA,3,1998-06-17,NA,1998-06-17,NA,NA,NA
"Acanthurus nigrofuscus",4739,6660,4963,412,55787,4.5,18.7,"FL",NA,NA,124,"mixed",0.02637,NA,3.02837,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  8.7%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Acanthurus nigrofuscus",4739,38452,4963,NA,111300,5.2,17.3,"FL",NA,NA,39,"juvenile",0.024,NA,3.36,0.98,NA,NA,NA,NA,0.0206000003963709,0.0285999998450279,3.22000002861023,3.49000000953674,"Type I linear regression","fresh","Hawaiian islands / 2012-2014",NA,"840B",NA,65,2016-11-02,NA,2016-11-02,NA,NA,NA
"Acanthurus thompsoni",4734,6650,4958,412,30504,20.1,20.1,"TL",NA,NA,1,"unsexed",0.01533,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Acanthurus thompsoni",4734,6651,4958,412,30504,NA,NA,"SL",NA,"Yes",1,"unsexed",0.03689,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Acanthurus triostegus",1260,3141,1277,412,3807,NA,NA,NA,NA,NA,NA,"unsexed",0.0164,NA,3.137,0.9722,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Woleai Atoll, Yap State, 1991",3807,"583","condition factor = 2.312",3,1992-06-14,NA,1994-01-27,NA,NA,NA
"Acanthurus triostegus",1260,3142,1277,412,26587,6.5,16.5,"FL",NA,"yes",21,"unsexed",0.132,NA,2.392,0.93896,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-19,3,2003-09-05,NA,NA,NA
"Acanthurus triostegus",1260,3143,1277,412,48600,3.5,19.2,"TL",NA,NA,1005,"unsexed",0.0213,NA,3.081,0.95063,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Lakshadweep lagoons, 1993-97",48600,"356",NA,3,2003-09-05,NA,2003-09-05,NA,NA,NA
"Acanthurus triostegus",1260,3144,1277,412,55787,6.5,16.5,"FL",NA,NA,22,"mixed",0.08306,NA,2.56968,0.94478,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  9.1%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Acanthurus triostegus",1260,35911,1277,NA,94645,8.5,22.3,"FL",NA,NA,115,"unsexed",0.0173,NA,3.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,96439,"840B",NA,3,2014-06-27,NA,2014-06-27,NA,NA,NA
"Acanthurus triostegus",1260,39495,1277,NA,107958,8,18.7,"FL",NA,NA,463,"unsexed",0.0365,NA,2.91,0.95,NA,NA,NA,NA,0.0307000000029802,0.0432000011205673,2.84999990463257,2.98000001907349,"Type I linear regression","fresh","2009-2013",NA,"316",NA,65,2017-04-17,NA,2017-04-17,NA,NA,NA
"Acanthurus triostegus",1260,38453,1277,NA,111300,3,16.6,"FL",NA,NA,159,"juvenile",0.0361,NA,3.13,0.99,NA,NA,NA,NA,0.0346000008285046,0.0375999994575977,3.09999990463257,3.16000008583069,"Type I linear regression","fresh","Hawaiian islands / 2012-2014",NA,"840B",NA,65,2016-11-02,NA,2016-11-02,NA,NA,NA
"Aethaloperca rogaa",6441,7968,6763,NA,82366,19,19,"SL",NA,NA,1,"unsexed",0.0299,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh","Lihir Island group (seamount), 1999-2002",82366,"598","Estimated from 1 L-W pair (Table 1, Ref. 82366).",3,2009-10-02,NA,2009-10-02,NA,NA,NA
"Amblyglyphidodon curacao",5477,7317,5752,350,26587,7,9.5,"FL","No",NA,14,"unsexed",0.0413,NA,2.886,0.91012,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-21,NA,NA,NA
"Amblyglyphidodon curacao",5477,7318,5752,350,55787,4.5,10.5,"FL",NA,NA,18,"mixed",0.0126,NA,3.43508,0.9722,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  8.2%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Amblyglyphidodon curacao",5477,38495,5752,NA,108462,3.6,5.4,"SL",NA,NA,10,"unsexed",0.0969,NA,2.611,0.957,NA,NA,NA,NA,0.048700001090765,0.192900002002716,2.15799999237061,3.06399989128113,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-11-03,NA,2016-11-03,NA,NA,NA
"Amblyglyphidodon leucogaster",5691,7575,5984,350,30504,8.4,11.5,"SL",NA,NA,2,"unsexed",0.00481,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Amblyglyphidodon leucogaster",5691,7576,5984,350,30504,11.4,14.4,"TL",NA,NA,2,"unsexed",0.02173,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Amblyglyphidodon leucogaster",5691,7577,5984,350,55787,6.5,10.4,"FL",NA,NA,14,"mixed",0.02974,NA,2.93605,0.85748,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  9.8%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Amphiprion chrysopterus",4551,6407,4736,350,30504,11.5,11.5,"TL",NA,NA,1,"unsexed",0.01447,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Amphiprion chrysopterus",4551,6408,4736,350,30504,NA,NA,"SL",NA,"Yes",1,"unsexed",0.03582,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Anampses twistii",4893,6859,5126,362,30504,11.2,11.2,"TL",NA,NA,1,"unsexed",0.01466,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Anampses twistii",4893,6860,5126,362,30504,NA,NA,"SL",NA,NA,1,"unsexed",0.02826,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Aphareus rutilans",83,466,98,323,3084,42,98,"FL",NA,NA,73,"unsexed",0.0154,NA,2.961,0.97023,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,3084,"580",NA,3,1992-03-28,NA,1994-06-19,NA,NA,NA
"Aphareus rutilans",83,467,98,323,5525,NA,NA,"FL",NA,NA,NA,"unsexed",0.00336,NA,3.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,160,"548",NA,3,1993-06-16,3,1997-11-26,3,1997-11-26,NA
"Aphareus rutilans",83,468,98,323,5725,NA,NA,NA,NA,NA,77,"unsexed",0.061,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,5725,"882",NA,3,1993-07-01,NA,1993-07-01,NA,NA,NA
"Aphareus rutilans",83,39526,98,NA,107958,29,90.5,"FL",NA,NA,86,"unsexed",0.0343,NA,2.77,0.99,NA,NA,NA,NA,0.0273000001907349,0.0430999994277954,2.71000003814697,2.82999992370605,"Type I linear regression","fresh","2009-2013",NA,"316",NA,65,2017-04-18,NA,2017-04-18,NA,NA,NA
"Aphareus rutilans",83,37275,98,NA,108462,10,52,"SL",NA,NA,12,"unsexed",0.0218,NA,2.988,0.999,NA,NA,NA,NA,0.0179999992251396,0.0263999998569489,2.91899991035461,3.05800008773804,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-08-30,NA,2016-08-30,NA,NA,NA
"Aphareus rutilans",83,41968,98,NA,118794,28,78,"FL",NA,NA,101,"unsexed",0.017,NA,2.59,0.948,NA,NA,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","Palawan / 1998-2014",118794,"608",NA,2448,2018-10-31,NA,2018-10-31,NA,NA,NA
"Aphareus rutilans",83,46931,98,NA,125599,24.6,85,"FL",NA,NA,173,"unsexed",0.0395,NA,2.73,0.99,NA,NA,NA,NA,0.0329999998211861,0.0472000017762184,2.6800000667572,2.77999997138977,"type I linear regression",NA,"2010 -2015",NA,"016",NA,65,2022-02-09,NA,2022-02-09,NA,NA,NA
"Arothron manilensis",7187,8139,7298,448,26587,3.5,33,"TL","Yes",NA,38,"unsexed",0.0469,NA,2.704,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-24,3,1998-05-22,NA,NA,NA
"Arothron manilensis",7187,8140,7298,448,55787,3.5,33,"FL",NA,NA,32,"mixed",0.02991,NA,2.90711,0.98406,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  13.8%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Arothron nigropunctatus",6400,7931,6721,448,30504,NA,NA,"SL",NA,NA,1,"unsexed",0.00534,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Arothron nigropunctatus",6400,7932,6721,448,30504,21.2,21.2,"TL",NA,NA,1,"unsexed",0.02655,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Aulostomus chinensis",1309,3217,1327,253,26849,15.6,32.7,"TL",NA,NA,40,"Unsexed",1e-04,NA,3.793,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26849,"638",NA,3,1998-06-17,3,2018-02-27,NA,NA,NA
"Aulostomus chinensis",1309,3218,1327,253,30840,33,69,"TL",NA,NA,4,"unsexed",0.00086,NA,3.16,0.98406,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",3,1999-08-06,NA,1999-08-06,NA,NA,NA
"Aulostomus chinensis",1309,3219,1327,253,55787,31.8,68,"FL",NA,NA,11,"mixed",0.00021,NA,3.51443,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  9.8%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Balistapus undulatus",6025,7820,6339,445,52323,NA,NA,"TL",NA,NA,NA,"mixed",0.0058,NA,3.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Presumably Philippines.",NA,"608","The high b indicates that this species gets more 'rounded' as it grows, which appears indeed to be the case judging from observations while diving (RF).",1,2005-12-08,NA,2005-12-08,NA,NA,NA
"Balistapus undulatus",6025,7821,6339,NA,82366,NA,NA,"SL",NA,NA,NA,"unsexed",0.0479,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other","fresh","Lihir Island group (seamount), 1999-2002",82366,"598","L-W from mean length and mean weight of 25 specimens (Table 1, Ref. 82366), with b = 3.",3,2009-10-02,NA,2009-10-02,NA,NA,NA
"Balistapus undulatus",6025,37218,6339,NA,108462,6.5,19,"SL",NA,NA,22,"unsexed",0.0565,NA,2.947,0.986,NA,NA,NA,NA,0.0373999997973442,0.0855000019073486,2.76799988746643,3.12700009346008,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-08-24,NA,2016-08-24,NA,NA,NA
"Balistapus undulatus",6025,46723,6339,NA,125700,8.4,16,"FL",NA,NA,48,"female",0.0346,NA,2.91,0.958,NA,NA,NA,NA,0.0217000003904104,0.0551999993622303,2.73000001907349,3.08999991416931,"Type I linear regression","fresh","Kavieng, New Ireland Province (2015)",125700,"598","Weight range: 17 - 105 g (Ref. 125700).",2,2022-01-31,NA,2022-01-31,NA,NA,NA
"Balistapus undulatus",6025,46722,6339,NA,125700,10.8,21.9,"FL",NA,NA,21,"male",0.066,NA,2.69,0.982,NA,NA,NA,NA,0.0399999991059303,0.108999997377396,2.51999998092651,2.86999988555908,"Type I linear regression","fresh","Kavieng, New Ireland Province (2015)",125700,"598","Weight range: 36-250 g Ref. 125700).",2,2022-01-31,NA,2022-01-31,NA,NA,NA
"Balistapus undulatus",6025,46721,6339,NA,125700,4.1,21.9,"FL",NA,NA,177,"mixed",0.0252,NA,3.03,0.99,NA,NA,NA,NA,0.0223999992012978,0.0284000001847744,2.98000001907349,3.0699999332428,"Type I linear regression","fresh","Kavieng, New Ireland Province (2015)",125700,"598","Weight range: 1.4-250 g (Ref. 125700).",2,2022-01-31,NA,2022-01-31,NA,NA,NA
"Balistoides viridescens",6026,7822,6340,445,55787,27.4,61,"FL",NA,NA,10,"mixed",0.02442,NA,3.01828,0.996,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  3.9%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Balistoides viridescens",6026,37219,6340,NA,108462,4.9,26.5,"SL",NA,NA,12,"unsexed",0.0696,NA,2.929,0.998,NA,NA,NA,NA,0.0540999993681908,0.0894000008702278,2.82500004768372,3.03200006484985,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-08-24,NA,2016-08-24,NA,NA,NA
"Caesio caerulaurea",918,2461,934,459,26587,8.5,21,"FL",NA,NA,55,"unsexed",0.0221,NA,2.946,0.98804,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-16,3,1998-05-20,NA,NA,NA
"Caesio caerulaurea",918,2462,934,459,55787,6.7,21.4,"FL",NA,NA,90,"mixed",0.01996,NA,2.99141,0.99202,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  6.1%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Caesio caerulaurea",918,37223,934,NA,108462,8.5,23,"SL",NA,NA,44,"unsexed",0.0223,NA,3.091,0.984,NA,NA,NA,NA,0.0159000009298325,0.0313999988138676,2.96900010108948,3.21300005912781,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-08-25,NA,2016-08-25,NA,NA,NA
"Caesio caerulaurea",918,46933,934,NA,125599,16.7,45.4,"FL",NA,NA,1101,"unsexed",0.0423,NA,2.77,0.9,NA,NA,NA,NA,0.0357000008225441,0.0500999987125397,2.72000002861023,2.82999992370605,"type I linear regression",NA,"2010 -2015",NA,"016",NA,65,2022-02-09,NA,2022-02-09,NA,NA,NA
"Caesio teres",923,37226,939,NA,108462,9,19.5,"SL",NA,NA,11,"unsexed",0.0169,NA,3.232,0.983,NA,NA,NA,NA,0.00749999983236194,0.0377000011503696,2.91499996185303,3.54800009727478,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-08-25,NA,2016-08-25,NA,NA,NA
"Caesio teres",923,46934,939,NA,125599,15.6,29,"FL",NA,NA,173,"unsexed",0.0189,NA,3.05,0.96,NA,NA,NA,NA,0.0140000004321337,0.0255999993532896,2.96000003814697,3.15000009536743,"type I linear regression",NA,"2010 -2015",NA,"016",NA,65,2022-02-09,NA,2022-02-09,NA,NA,NA
"Cantherhines dumerilii",5836,7680,6133,517,3807,NA,NA,NA,NA,NA,NA,"unsexed",0.0406,NA,2.792,0.92352,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Woleai Atoll, Yap State, 1991",3807,"583","condition factor = 2.191",3,1992-06-15,NA,1994-01-31,NA,NA,NA
"Canthigaster solandri",6578,8071,6900,448,55787,3,7.5,"FL",NA,NA,10,"mixed",0.02989,NA,2.97881,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  10.1%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Canthigaster solandri",6578,47946,6900,NA,126022,5.5,12.1,"TL",NA,NA,45,"unsexed",0.0749,NA,2.5529,0.975,NA,NA,NA,NA,0.0502999983727932,0.111400000751019,2.36999988555908,2.73499989509583,"type I linear regression",NA,"Gulf of Mannar and Palk Bay / 2018-2019.",NA,NA,NA,65,2022-05-19,NA,2022-05-19,NA,NA,NA
"Centropyge bicolor",5454,7279,5724,460,30504,9.4,9.4,"TL",NA,NA,1,"unsexed",0.02107,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Centropyge bicolor",5454,7280,5724,460,30504,NA,NA,"SL",NA,"Yes",1,"unsexed",0.04148,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Centropyge flavissima",5457,45761,5727,NA,124696,2.7,12.3,"TL",NA,NA,51,"unsexed",0.02232,NA,3.125,0.993,NA,NA,NA,NA,0.0192399993538857,0.025900000706315,3.05200004577637,3.19899988174438,"type I linear regression",NA,"Northern Line Islands / 2006-2011.",NA,NA,NA,65,2021-08-02,NA,2021-08-02,NA,NA,NA
"Centropyge heraldi",5665,7556,5958,460,30504,NA,NA,"SL",NA,NA,1,"unsexed",0.00449,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Centropyge heraldi",5665,7557,5958,460,30504,9.4,9.4,"TL",NA,NA,1,"unsexed",0.02769,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Cephalopholis argus",6396,7925,6717,289,26587,25.5,44,"TL",NA,NA,13,"unsexed",0.0186,NA,2.987,0.94868,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-13,3,1998-05-22,NA,NA,NA
"Cephalopholis argus",6396,7926,6717,289,26849,4.2,18.6,"TL",NA,NA,14,"unsexed",0.0166,NA,3.0148,0.96432,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26849,"638",NA,3,1998-06-17,3,1998-06-17,NA,NA,NA
"Cephalopholis argus",6396,7927,6717,289,48600,8.1,29.8,"TL",NA,NA,69,"unsexed",0.00678,NA,3.274,0.9799,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Lakshadweep lagoons, 1993-97",48600,"356",NA,3,2003-09-24,NA,2003-09-24,NA,NA,NA
