"OpCode","Sizec","Mobility","Activity","Schooling","Position","Diet_Mouillot_2014","Dive_Site","Year_of_Adoption","Location","Permission","Facilitated.by","lat","lon","aca_geomorphology","slope_mean_2020_bio_oracle_3","terrain_ruggedness_index_2020_bio_oracle_3","topographic_position_index_2020_bio_oracle_3","DESIG","ADOPT_2024","NO_TAKE","NO_TK_AREA","STATUS_YR","Geomorphology","OBJECTI","grav_NC","pop_cnt","nm_prts","reef_vl","sedimnt","nutrint","cml_scr","tp_thrt","Region","is_bcu","grv_NC_","pp_cnt_","nm_prt_","rf_vl_r","sdmnt_r","ntrnt_r","score","scoreth","scorpfc","scoretr","scorecn","scorecy"
"KUA_MPA",17.9926399633376,1.26644182124789,1,3.57841483979764,1.39629005059022,"PK","KuataMPA","Non-adopter","Kuata","Namara","Barefoot Manta",-17.36183827,177.1359799,"Terrestrial Reef Flat",0.22318776,21.863625,4.6390557,"qoliqoli","Non-Adopter","None",0,"None","Terrestrial Reef Flat",48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,"Tourism","Melanesia","non-refugia",0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
"KUA_noMPA",15.8413759943227,1.23674911660777,1.00353356890459,3.17314487632509,1.15901060070671,"OM","KuataNonMPA","Non-adopter","Kuata","Namara","Barefoot Manta",-17.3660347,177.1399643,"Terrestrial Reef Flat",0.16416138,16.897337,-2.3884435,"qoliqoli","Non-Adopter","None",0,"None","Terrestrial Reef Flat",48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,"Tourism","Melanesia","non-refugia",0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
"Kua_Back",17.6330263608863,1.31311475409836,1.05737704918033,3.33114754098361,1.38852459016393,"OM","KuataBack","Non-adopter","Kuata","Namara","Barefoot Manta",-17.36312074,177.1327823,NA,0.22318776,21.863625,4.6390557,"qoliqoli","Non-Adopter","None",0,"None","Sheltered Reef Slope",48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,"Tourism","Melanesia","non-refugia",0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
"Lau_Totoya_BT",19.43604475269,1.32896652110626,1.0174672489083,3.6608442503639,1.17321688500728,"HD","CoralGarden","2010-2014","Totoya","Totoya","Fijian LMMA/Captain Cook Cruises",-19.00218046,-179.8781898,NA,10.61112,863.71924,-192.91789,"qoliqoli","2010-2014","None",0,"None","Outer Reef Flat",49692,0.06399955,0.492362078,0,0,0.732915257,0.629447423,0.319787385,"Sediments","Melanesia","non-refugia",0.009458145,163.7047529,0,0,37.5112648,0.002929408,-0.07671,-0.89297,0.15016,-0.55246,-0.42444,0.19743
"Lau_Totoya_Joe",20.1483074242646,1.32608695652174,1.03532608695652,3.44565217391304,1.47282608695652,"PK","ReefCorner","2010-2014","Totoya","Totoya","Fijian LMMA/Captain Cook Cruises",-18.99945678,-179.8721369,"Back Reef Slope",10.61112,863.71924,-192.91789,"qoliqoli","2010-2014","None",0,"None","Back Reef Slope",49640,0.063699875,0.571268957,0,0,0,0,0.105828139,"Coastal pop","Melanesia","non-refugia",0.009359818,450.8471918,0,0,0,0,-0.07258,-0.84888,0.15274,-0.49148,-0.42444,0.18083
"Lau_VanuaBalavu",15.6672261338879,1.19191919191919,1.02525252525253,3.40909090909091,1.08585858585859,"OM","VBBay","Non-adopter","VanuaBalavu","Daliconi","Fijian LMMA/Captain Cook Cruises",-17.20382191,-178.9734533,"Back Reef Slope",0.4948923,42.277264,12.657234,"Locally Managed Marine Area","Non-Adopter","Part",4.66,"2007","Back Reef Slope",47764,0.013279392,0.663968056,0,0.759029966,0.704097396,0.562544912,0.45048662,"Tourism","Melanesia","refugia",0.000403359,1178.724392,0,34,26.18201828,0.000429278,0.0396,-0.12626,0.23237,0.09724,0.7605,0.07336
"SAV_GNU_2009",15.700768207339,1.17450199203187,1.06852589641434,3.73705179282869,1.47729083665339,"PK","GoldenNuggets","2005-2009","VanuaLevu","Savusavu","Bua Provincial Councial/KorosunDive",-16.82430488,179.2706002,NA,3.6456804,289.92941,140.46001,"Locally Managed Marine Area","2005-2009","Part",20.6,"2004","Deep Lagoon",47273,0.382892248,0.858634332,0.998223313,0.865429702,0.794854348,0.642768964,0.757133818,"Industrial dev","Melanesia","refugia",0.353583294,7645.003204,2,306,79.11255646,0.004097039,0.02434,-0.10809,0.22032,0.16556,0.38748,-0.02834
"SAV_SLR_1909",20.8666673199831,1.38582677165354,1.12283464566929,3.72755905511811,1.58897637795276,"PK","SplitRock","2005-2009","VanuaLevu","Savusavu","Bua Provincial Councial/KorosunDive",-16.80662252,179.2922599,NA,3.6456804,289.92941,140.46001,"Locally Managed Marine Area","2005-2009","Part",20.6,"2004","Sheltered Reef Slope",47273,0.382892248,0.858634332,0.998223313,0.865429702,0.794854348,0.642768964,0.757133818,"Industrial dev","Melanesia","refugia",0.353583294,7645.003204,2,306,79.11255646,0.004097039,0.02434,-0.10809,0.22032,0.16556,0.38748,-0.02834
"WAI_ALI",18.9970652042346,1.18832891246684,1.0053050397878,3.42175066312997,1.342175066313,"PK","AliceWonderland","2010-2014","VanuaLevu","Savusavu","Bua Provincial Councial/CousteuDive",-16.82817665,179.1878434,NA,2.4705825,181.01839,84.630943,"qoliqoli","2010-2014","None",0,"None","Outer Reef Flat",47272,0.40875803,0.389497399,0,0.666660561,0.761641165,0.591399038,0.469659366,"Sediments","Melanesia","refugia",0.41026912,20.42838669,0,1,52.88097382,0.001066607,0.03692,-0.06416,0.21814,-0.10596,0.76408,-0.02734
"WAI_MYS",15.4712332572604,1.14229559748428,1.0062893081761,3.52279874213836,1.58254716981132,"PK","MysteryReef","2010-2014","VanuaLevu","Savusavu","Bua Provincial Councial/CousteuDive",-16.82181319,179.1888587,NA,2.4705825,181.01839,84.630943,"qoliqoli","2010-2014","None",0,"None","Outer Reef Flat",47272,0.40875803,0.389497399,0,0.666660561,0.761641165,0.591399038,0.469659366,"Sediments","Melanesia","refugia",0.41026912,20.42838669,0,1,52.88097382,0.001066607,0.03692,-0.06416,0.21814,-0.10596,0.76408,-0.02734
"YA_COW",13.0553650356141,1.23306544202067,1.06659012629162,4.34070034443169,1.96153846153846,"PK","YaCOW","Non-adopter","Yasawa","Muaira","Barefoot Manta",-17.16472821,177.1946053,"Outer Reef Flat",0.063202888,8.5026398,-0.33094046,"qoliqoli","Non-Adopter","None",0,"None","Outer Reef Flat",47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,"Tourism","Melanesia","non-refugia",0.585998662,540.2162622,0,1217,3.152070761,0.000401614,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
"YA_LIW",18.6574591126315,1.30658436213992,1.00617283950617,3.19958847736626,1.0843621399177,"OM","LittleWonders","Non-adopter","Yasawa","Muaira","Barefoot Manta",-17.15925308,177.1671203,"Sheltered Reef Slope",0.070601173,7.5770392,4.7067151,"qoliqoli","Non-Adopter","None",0,"None","Sheltered Reef Slope",47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,"Tourism","Melanesia","non-refugia",0.585998662,540.2162622,0,1217,3.152070761,0.000401614,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
"YA_MAC",13.7873629374559,1.146110056926,1.04364326375712,4.21758380771664,1.72612270714738,"PK","MantaChannel","Non-adopter","Yasawa","Muaira","Barefoot Manta",-17.1716061,177.1884218,NA,0.063202888,8.5026398,-0.33094046,"qoliqoli","Non-Adopter","None",0,"None","Sheltered Reef Slope",47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,"Tourism","Melanesia","non-refugia",0.585998662,540.2162622,0,1217,3.152070761,0.000401614,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
"YA_VAL",13.4910319011466,1.17168011738811,1.11665443873808,3.94864269992663,1.73881144534116,"PK","ValiBeach","Non-adopter","Yasawa","Muaira","Barefoot Manta",-17.16406392,177.1918663,"Sheltered Reef Slope",0.063202888,8.5026398,-0.33094046,"qoliqoli","Non-Adopter","None",0,"None","Sheltered Reef Slope",47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,"Tourism","Melanesia","non-refugia",0.585998662,540.2162622,0,1217,3.152070761,0.000401614,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
"YA_VUI",17.4094492855199,1.3116395494368,1,3.61952440550688,1.3729662077597,"OM","Vuvui","Non-adopter","Yasawa","Muaira","Barefoot Manta",-17.19002182,177.1993791,"Terrestrial Reef Flat",0.072848953,10.474944,-5.7781749,"qoliqoli","Non-Adopter","None",0,"","Terrestrial Reef Flat",47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,"Tourism","Melanesia","non-refugia",0.585998662,540.2162622,0,1217,3.152070761,0.000401614,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
