"analysis","response","predictor","pred_type","n","r2","p_value","p_adj"
"all_responses","fric","sst_sd_6_year_mean","numeric",94,0.000652573174547166,0.806921855876808,0.806921855876808
"all_responses","fric","sst_q90_6_year_mean","numeric",94,0.00113523640867738,0.747157928393026,0.806921855876808
"all_responses","fric","sst_mean_6_year_mean","numeric",94,0.000996673801146396,0.762603435816584,0.806921855876808
"all_responses","fdiv","nutrint","numeric",94,0.00292727099605065,0.60451319332293,0.777231248558053
"all_responses","fdiv","crypto5LR","numeric",94,3.25386126733408e-06,0.986233226414686,0.986233226414686
"all_responses","fdiv","pare5BRin","numeric",94,0.0338563141738723,0.0758523348226576,0.17066775335098
"all_responses","fdiv","Rnetflow","numeric",94,0.144195024456954,0.000160150960604373,0.000480629898326795
"all_responses","fdiv","Cnetflow","numeric",94,0.149962112267589,0.000115319274815318,0.000480629898326795
"all_responses","fdiv","transi15BRIF","numeric",94,0.144188541120184,0.000160209966108932,0.000480629898326795
"all_responses","fdiv","sst_sd_6_year_mean","numeric",94,0.0196228780309992,0.178102454899305,0.320584418818749
"all_responses","fdiv","sst_q90_6_year_mean","numeric",94,0.000512202084838048,0.828585500810867,0.932158688412226
"all_responses","fdiv","sst_mean_6_year_mean","numeric",94,0.00303516664772784,0.597919898006894,0.777231248558053
"all_responses","fspe","nutrint","numeric",94,2.08711920855246e-05,0.965142877683591,0.965142877683591
"all_responses","fspe","crypto5LR","numeric",94,5.0354061586347e-05,0.945881821534931,0.965142877683591
"all_responses","fspe","pare5BRin","numeric",94,0.00544426514358211,0.479711135590755,0.639163390704093
"all_responses","fspe","Rnetflow","numeric",94,0.00502619139763666,0.497127081658739,0.639163390704093
"all_responses","fspe","Cnetflow","numeric",94,0.016226241683174,0.221147100717205,0.497580976613711
"all_responses","fspe","transi15BRIF","numeric",94,0.00514978845589438,0.491870781063129,0.639163390704093
"all_responses","fspe","sst_sd_6_year_mean","numeric",94,0.0343255547937103,0.0738160085233078,0.249158846023547
"all_responses","fspe","sst_q90_6_year_mean","numeric",94,0.0322978706620873,0.0830529486745158,0.249158846023547
"all_responses","fspe","sst_mean_6_year_mean","numeric",94,0.0335531967598496,0.0771992460488812,0.249158846023547
"all_responses","fori","nutrint","numeric",94,0.00135258043900925,0.72489919414294,0.997068551252756
"all_responses","fori","crypto5LR","numeric",94,0.000454617033249491,0.838369690718477,0.997068551252756
"all_responses","fori","pare5BRin","numeric",94,0.00383288400226193,0.553328137996986,0.997068551252756
"all_responses","fori","Rnetflow","numeric",94,1.47522693197078e-07,0.997068551252756,0.997068551252756
"all_responses","fori","Cnetflow","numeric",94,7.43031415136675e-05,0.934283624627174,0.997068551252756
"all_responses","fori","transi15BRIF","numeric",94,0.00377864698878915,0.556154209725866,0.997068551252756
"all_responses","fori","sst_sd_6_year_mean","numeric",94,0.0572200090046471,0.020233695925855,0.060701087777565
"all_responses","fori","sst_q90_6_year_mean","numeric",94,0.0641011350306782,0.0138124898485221,0.060701087777565
"all_responses","fori","sst_mean_6_year_mean","numeric",94,0.0634629835802027,0.0143092938337563,0.060701087777565
"all_responses","feve","nutrint","numeric",94,0.0226203335081551,0.147918890550482,0.443756671651446
"all_responses","feve","crypto5LR","numeric",94,0.0857005269007355,0.00419229021161781,0.0377306119045603
"all_responses","feve","pare5BRin","numeric",94,0.0317471016777905,0.0857683028461102,0.385957362807496
"all_responses","feve","Rnetflow","numeric",94,0.00105799407175291,0.755631781865419,0.766644963481527
"all_responses","feve","Cnetflow","numeric",94,0.00220488905307845,0.65313274020934,0.766644963481527
"all_responses","feve","transi15BRIF","numeric",94,0.000962038166277425,0.766644963481527,0.766644963481527
"all_responses","feve","sst_sd_6_year_mean","numeric",94,0.0112540768994552,0.308845347409684,0.472035527714905
"all_responses","feve","sst_q90_6_year_mean","numeric",94,0.0109869266040524,0.314690351809936,0.472035527714905
"all_responses","feve","sst_mean_6_year_mean","numeric",94,0.0112380095481619,0.309192914682636,0.472035527714905
"all_responses","fdis","nutrint","numeric",94,0.019967926130777,0.174296286650086,0.392166644962693
"all_responses","fdis","crypto5LR","numeric",94,0.00869909409830692,0.37125351383956,0.417660203069505
"all_responses","fdis","pare5BRin","numeric",94,0.0143102081843338,0.250794677462435,0.417660203069505
"all_responses","fdis","Rnetflow","numeric",94,0.00898969008714741,0.363346946620719,0.417660203069505
"all_responses","fdis","Cnetflow","numeric",94,0.000918568778866107,0.77183080019865,0.77183080019865
"all_responses","fdis","transi15BRIF","numeric",94,0.0102455245188686,0.331682051678085,0.417660203069505
"all_responses","fdis","sst_sd_6_year_mean","numeric",94,0.0360979021259192,0.0666297919081151,0.199889375724345
"all_responses","fdis","sst_q90_6_year_mean","numeric",94,0.0452116636949254,0.0396346857203637,0.199598275813301
"all_responses","fdis","sst_mean_6_year_mean","numeric",94,0.0432222334197359,0.0443551724029558,0.199598275813301
