Dive_Site,mean_biomass,mean_abundance,FRic,FEve,FDiv,FDis,RaoQ,Location,Permission,Facilitated by,lat,lon,aca_geomorphology,slope_mean_2020_bio_oracle_3,terrain_ruggedness_index_2020_bio_oracle_3,topographic_position_index_2020_bio_oracle_3,DESIG,ADOPT_2024,Median (year),Timescale (years),NO_TAKE,NO_TK_AREA,STATUS_YR,Geomorphology,OBJECTI,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,Region,is_bcu,grv_NC_,pp_cnt_,nm_prt_,rf_vl_r,sdmnt_r,ntrnt_r,score,scoreth,scorpfc,scoretr,scorecn,scorecy
VBBay,76.76090456,99,0.111868212,0.697567812,0.890453771,0.160074979,0.03170184,VanuaBalavu,Daliconi,Fijian LMMA/Captain Cook Cruises,-17.20382191,-178.9734533,Back Reef Slope,0.4948923,42.277264,12.657234,Locally Managed Marine Area,Non-Adopter,Non-Adopter,Non-Adopter,Part,4.66,2007,Back Reef Slope,47764,0.013279392,0.663968056,0,0.759029966,0.704097396,0.562544912,0.45048662,Tourism,Melanesia,refugia,4.03E-04,1178.724392,0,34,26.18201828,4.29E-04,0.0396,-0.12626,0.23237,0.09724,0.7605,0.07336
GoldenNuggets,286.1566439,251,0.230777743,0.611846632,0.954790432,0.157690756,0.037207814,VanuaLevu,Savusavu,Bua Provincial Councial/KorosunDive,-16.82430488,179.2706002,NA,3.6456804,289.92941,140.46001,Locally Managed Marine Area,2005-2009,2007,18,Part,20.6,2004,Deep Lagoon,47273,0.382892248,0.858634332,0.998223313,0.865429702,0.794854348,0.642768964,0.757133818,Industrial dev,Melanesia,refugia,0.353583294,7645.003204,2,306,79.11255646,0.004097039,0.02434,-0.10809,0.22032,0.16556,0.38748,-0.02834
SplitRock,235.1572045,127,0.191966483,0.606090407,0.929191531,0.205580504,0.053739545,VanuaLevu,Savusavu,Bua Provincial Councial/KorosunDive,-16.80662252,179.2922599,NA,3.6456804,289.92941,140.46001,Locally Managed Marine Area,2005-2009,2007,18,Part,20.6,2004,Sheltered Reef Slope,47273,0.382892248,0.858634332,0.998223313,0.865429702,0.794854348,0.642768964,0.757133818,Industrial dev,Melanesia,refugia,0.353583294,7645.003204,2,306,79.11255646,0.004097039,0.02434,-0.10809,0.22032,0.16556,0.38748,-0.02834
AliceWonderland,276.9846044,150.8,0.086800921,0.665615628,0.870441904,0.182812191,0.037570807,VanuaLevu,Savusavu,Bua Provincial Councial/CousteuDive,-16.82817665,179.1878434,NA,2.4705825,181.01839,84.630943,qoliqoli,2010-2014,2012,13,None,0,None,Outer Reef Flat,47272,0.40875803,0.389497399,0,0.666660561,0.761641165,0.591399038,0.469659366,Sediments,Melanesia,refugia,0.41026912,20.42838669,0,1,52.88097382,0.001066607,0.03692,-0.06416,0.21814,-0.10596,0.76408,-0.02734
MysteryReef,459.567771,254.4,0.134183463,0.621461921,0.900704315,0.169630228,0.035491995,VanuaLevu,Savusavu,Bua Provincial Councial/CousteuDive,-16.82181319,179.1888587,NA,2.4705825,181.01839,84.630943,qoliqoli,2010-2014,2012,13,None,0,None,Outer Reef Flat,47272,0.40875803,0.389497399,0,0.666660561,0.761641165,0.591399038,0.469659366,Sediments,Melanesia,refugia,0.41026912,20.42838669,0,1,52.88097382,0.001066607,0.03692,-0.06416,0.21814,-0.10596,0.76408,-0.02734
YaCOW,916.190859,696.8,0.240423647,0.62124679,0.986606991,0.104605025,0.027752198,Yasawa,Muaira,Barefoot Manta,-17.16472821,177.1946053,Outer Reef Flat,0.063202888,8.5026398,-0.33094046,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,None,Outer Reef Flat,47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,Tourism,Melanesia,non-refugia,0.585998662,540.2162622,0,1217,3.152070761,4.02E-04,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
LittleWonders,116.6341895,97.2,0.125347214,0.624295644,0.897552046,0.175520989,0.03447426,Yasawa,Muaira,Barefoot Manta,-17.15925308,177.1671203,Sheltered Reef Slope,0.070601173,7.5770392,4.7067151,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,None,Sheltered Reef Slope,47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,Tourism,Melanesia,non-refugia,0.585998662,540.2162622,0,1217,3.152070761,4.02E-04,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
MantaChannel,595.912529,316.2,0.14523105,0.615590004,0.976359594,0.124520311,0.029803603,Yasawa,Muaira,Barefoot Manta,-17.1716061,177.1884218,NA,0.063202888,8.5026398,-0.33094046,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,None,Sheltered Reef Slope,47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,Tourism,Melanesia,non-refugia,0.585998662,540.2162622,0,1217,3.152070761,4.02E-04,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
ValiBeach,285.9043047,272.6,0.176732702,0.656526979,0.968597812,0.168106919,0.04216135,Yasawa,Muaira,Barefoot Manta,-17.16406392,177.1918663,Sheltered Reef Slope,0.063202888,8.5026398,-0.33094046,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,None,Sheltered Reef Slope,47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,Tourism,Melanesia,non-refugia,0.585998662,540.2162622,0,1217,3.152070761,4.02E-04,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
Vuvui,215.2802077,159.8,0.07194142,0.627950756,0.918514999,0.202365159,0.04464047,Yasawa,Muaira,Barefoot Manta,-17.19002182,177.1993791,Terrestrial Reef Flat,0.072848953,10.474944,-5.7781749,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,NA,Terrestrial Reef Flat,47746,0.470154146,0.587112609,0,0.92371236,0.580678976,0.561052457,0.520451758,Tourism,Melanesia,non-refugia,0.585998662,540.2162622,0,1217,3.152070761,4.02E-04,-0.00432,-0.26223,0.18872,-0.287,0.28977,-0.11919
