"Period","OpCode","biomass_kg","biomass_kg_ha","Location","Site","Year of Adoption","Status","Province","Fishing Grounds"
"Lau_Totoya_Joe_Transect 1","Lau_Totoya_Joe",7.40243513865628,296.097405546251,"Lau","ReefCorner","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_Totoya_Joe_Transect 2","Lau_Totoya_Joe",2.71364707363044,108.545882945218,"Lau","ReefCorner","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_Totoya_Joe_Transect 3","Lau_Totoya_Joe",5.56168113092495,222.467245236998,"Lau","ReefCorner","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_Totoya_Joe_Transect 4","Lau_Totoya_Joe",4.49161899536323,179.664759814529,"Lau","ReefCorner","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_Totoya_Joe_Transect 5","Lau_Totoya_Joe",4.95269690705569,198.107876282228,"Lau","ReefCorner","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_VanuaBalavu_Transect 1","Lau_VanuaBalavu",1.9517031509021,78.0681260360838,"Lau","VBBay","Non-adopter","Qoliqoli","Lau","Vanua Balavu"
"Lau_VanuaBalavu_Transect 2","Lau_VanuaBalavu",1.88634207711318,75.4536830845272,"Lau","VBBay","Non-adopter","Qoliqoli","Lau","Vanua Balavu"
"SAV_GNU_Transect 4","SAV_GNU_2009",4.12232894447292,164.893157778917,"Vanua Levu","GoldenNuggets","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_GNU_Transect 5","SAV_GNU_2009",12.8782171110328,515.128684441313,"Vanua Levu","GoldenNuggets","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_GNU_Transect 6","SAV_GNU_2009",2.62650602301187,105.060240920475,"Vanua Levu","GoldenNuggets","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_GNU_Transect 7","SAV_GNU_2009",7.79487130003232,311.794852001293,"Vanua Levu","GoldenNuggets","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_GNU_Transect 8","SAV_GNU_2009",8.34765711183311,333.906284473324,"Vanua Levu","GoldenNuggets","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_SLR_Transect 1","SAV_SLR_1909",7.31509018010154,292.603607204061,"Vanua Levu","SplitRock","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_SLR_Transect 2","SAV_SLR_1909",3.63628432334395,145.451372933758,"Vanua Levu","SplitRock","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_SLR_Transect 3","SAV_SLR_1909",1.67003917915583,66.8015671662333,"Vanua Levu","SplitRock","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_SLR_Transect 4","SAV_SLR_1909",7.73508506683011,309.403402673204,"Vanua Levu","SplitRock","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_SLR_Transect 5","SAV_SLR_1909",9.03815181862406,361.526072744962,"Vanua Levu","SplitRock","2005-2009","LMMA","Cakaudrove","Savusavu"
"WAI_ALI_Transect 1","WAI_ALI",5.40166645011765,216.066658004706,"Vanua Levu","AliceWonderland","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_ALI_Transect 2","WAI_ALI",6.45980613298217,258.392245319287,"Vanua Levu","AliceWonderland","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_ALI_Transect 3","WAI_ALI",8.80388197418089,352.155278967236,"Vanua Levu","AliceWonderland","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_ALI_Transect 4","WAI_ALI",8.59300931522332,343.720372608933,"Vanua Levu","AliceWonderland","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_ALI_Transect 5","WAI_ALI",5.36471167310778,214.588466924311,"Vanua Levu","AliceWonderland","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_MYS_Transect 1","WAI_MYS",8.88293628951401,355.31745158056,"Vanua Levu","MysteryReef","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_MYS_Transect 2","WAI_MYS",9.7096282864957,388.385131459828,"Vanua Levu","MysteryReef","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_MYS_Transect 3","WAI_MYS",8.04316840034154,321.726736013661,"Vanua Levu","MysteryReef","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_MYS_Transect 5","WAI_MYS",19.5049216401565,780.196865606261,"Vanua Levu","MysteryReef","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_MYS_transect 4","WAI_MYS",11.3053167546828,452.212670187313,"Vanua Levu","MysteryReef","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"YA_COW_Transect 1","YA_COW",12.7199621367983,508.798485471932,"Yasawas","YaCOW","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_COW_Transect 2","YA_COW",10.4500030561503,418.000122246013,"Yasawas","YaCOW","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_COW_Transect 3","YA_COW",14.5074684093888,580.298736375553,"Yasawas","YaCOW","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_COW_Transect 4","YA_COW",58.3117567506455,2332.47027002582,"Yasawas","YaCOW","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_COW_Transect 5","YA_COW",18.5346670209561,741.386680838245,"Yasawas","YaCOW","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_LIW_Transect 1","YA_LIW",2.44601786252678,97.8407145010712,"Yasawas","LittleWonders","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_LIW_Transect 2","YA_LIW",2.38308693455069,95.3234773820276,"Yasawas","LittleWonders","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_LIW_Transect 3","YA_LIW",2.11123934397943,84.4495737591774,"Yasawas","LittleWonders","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_LIW_Transect 4","YA_LIW",6.77252298254788,270.900919301915,"Yasawas","LittleWonders","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_LIW_Transect 5","YA_LIW",0.86640655894481,34.6562623577924,"Yasawas","LittleWonders","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_MAC_Transect 1","YA_MAC",14.8552646175635,594.21058470254,"Yasawas","MantaChannel","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_MAC_Transect 2","YA_MAC",32.4609575991812,1298.43830396725,"Yasawas","MantaChannel","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_MAC_Transect 3","YA_MAC",4.6055256760292,184.221027041168,"Yasawas","MantaChannel","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_MAC_Transect 4","YA_MAC",13.8963891405348,555.855565621392,"Yasawas","MantaChannel","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_MAC_Transect 5","YA_MAC",8.67092908580625,346.83716343225,"Yasawas","MantaChannel","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VAL_Transect 1","YA_VAL",6.89454041481146,275.781616592459,"Yasawas","ValiBeach","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VAL_Transect 2","YA_VAL",10.9445443181516,437.781772726062,"Yasawas","ValiBeach","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VAL_Transect 3","YA_VAL",6.11596784870609,244.638713948244,"Yasawas","ValiBeach","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VAL_Transect 4","YA_VAL",6.93647313283988,277.458925313595,"Yasawas","ValiBeach","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VAL_Transect 5","YA_VAL",4.84651237914255,193.860495165702,"Yasawas","ValiBeach","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VUI_Transect 1","YA_VUI",3.57759418632136,143.103767452854,"Yasawas","Vuvui","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VUI_Transect 2","YA_VUI",5.83450296827627,233.380118731051,"Yasawas","Vuvui","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VUI_Transect 3","YA_VUI",4.85796655998943,194.318662399577,"Yasawas","Vuvui","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VUI_Transect 4","YA_VUI",4.64647842043271,185.859136817309,"Yasawas","Vuvui","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VUI_Transect 5","YA_VUI",7.99348383068983,319.739353227593,"Yasawas","Vuvui","Non-adopter","Qoliqoli","Ba","Muaira"
