Species_full,a,b
Aetobatus narinari,0.773610896,2.206850333
Aetobatus ocellatus,0.00389,3.08
Aioliops megastigma,0.00389,3.12
Aioliops novaeguineae,0.00389,3.12
Albula glossodonta,1.00E-05,3
Albula vulpes,4.74E-06,3.1871
Alectis ciliaris,0.0299,2.92
Alepes kleinii,0.0138,2.96
Alepes vari,0.011067041,3.078618794
Alphestes afer,2.54E-05,2.9266
Alphestes immaculatus,0.01122,3.05
Alphestes multiguttatus,0.01122,3.05
Aluterus monoceros,0.0194,2.96
Aluterus schoepfii,0.0927,2.344
Aluterus scriptus,0.01264154,1.8136
Amanses scopas,0.014701605,2.990918935
Amblycirrhitus bimacula,3.70E-06,3.52
Amblycirrhitus pinos,9.62E-07,3.4266
Amblyeleotris fasciata,0.00589,3.1
Amblyeleotris guttata,1.044092511,1.909485201
Amblyeleotris gymnocephala,0.00589,3.1
Amblyeleotris katherine,0.00589,3.1
Amblyeleotris periophthalma,0.00589,3.1
Amblyeleotris sp,0.00589,3.1
Amblyeleotris steinitzi,0.016138766,2.861282802
Amblyeleotris sungami,0.00589,3.1
Amblyeleotris wheeleri,0.00589,3.1
Amblyglyphidodon aureus,0.014347695,3.330369305
Amblyglyphidodon batunai,0.02239,2.99
Amblyglyphidodon curacao,0.020387591,3.222540208
Amblyglyphidodon flavilatus,0.02239,2.99
Amblyglyphidodon indicus,0.02239,2.99
Amblyglyphidodon leucogaster,0.029735581,2.936047024
Amblyglyphidodon melanopterus,0.02239,2.99
Amblyglyphidodon orbicularis,0.018368848,3.160184653
Amblyglyphidodon ternatensis,0.018368848,3.160184653
Amblygobius buanensis,0.00891,3.07
Amblygobius bynoensis,0.00891,3.07
Amblygobius decussatus,0.012132981,2.966783788
Amblygobius nocturnus,0.013642981,2.951783788
Amblygobius phalaena,0.015321987,2.894522525
Amblygobius rainfordi,0.018375962,2.833567575
Amblygobius semicinctus,0.00891,3.07
Amblygobius sp,0.015321987,2.894522525
Amblygobius sphynx,0.018375962,2.833567575
Amphichaetodon howensis,0.02188,3.02
Amphichthys cryptocentrus,0.00389,3.12
Amphiprion akallopisos,0.01122,3.04
Amphiprion akindynos,0.031616572,2.929801945
Amphiprion allardi,0.02291,2.99
Amphiprion bicinctus,1.514222595,1.514222595
Amphiprion chrysopterus,1.015770554,2.072885025
Amphiprion clarkii,0.020888236,3.090104942
Amphiprion ephippium,0.02291,2.99
Amphiprion frenatus,0.02291,2.99
Amphiprion fuscocaudatus,0.02291,2.99
Amphiprion latezonatus,0.02291,2.99
Amphiprion leucokranos,0.01122,3.04
Amphiprion mccullochi,0.02291,2.99
Amphiprion melanopus,0.018417033,3.168989499
Amphiprion ocellaris,0.01122,3.04
Amphiprion percula,0.01122,3.04
Amphiprion perideraion,0.020592157,3.123403295
Amphiprion polymnus,0.02291,2.99
Amphiprion rubrocinctus,0.01122,3.04
Amphiprion sandaracinos,0.01122,3.04
Anampses caeruleopunctatus,0.019391184,3.19
Anampses chrysocephalus,6.20E-06,3.3
Anampses cuvier,1.30E-05,3.19
Anampses elegans,0.01,3.06
Anampses femininus,0.019391184,3.19
Anampses geographicus,0.016304701,2.926355512
Anampses lennardi,0.01995,3.01
Anampses lineatus,0.01,3.06
Anampses melanurus,1.530273846,1.530273846
Anampses meleagrides,0.016304701,2.926355512
Anampses neoguinaicus,0.017536467,2.880903675
Anampses sp,0.017536467,2.880903675
Anampses twistii,0.625153419,2.287193743
Anarrhichthys ocellatus,0.00398,3.17
Anisotremus caesius,0.0166,3.03
Anisotremus interruptus,0.0569,2.91
Anisotremus moricandi,1.01E-05,3.1674
Anisotremus scapularis,0.01202,3
Anisotremus surinamensis,2.39E-06,3.3916
Anisotremus taeniatus,0.0166,3.03
Anisotremus virginicus,1.01E-05,3.1674
Antennarius multiocellatus,0.0236,3.293
Anyperodon leucogrammicus,0.004248776,3.329031025
Aphareus furca,0.016736035,3.022152377
Aphareus rutilans,0.01585,2.95
Aplodactylus etheridgii,0.00479,3.14
Apogon affinis,2.28E-05,2.9434
Apogon americanus,2.28E-05,2.9434
Apogon angustatus,0.004929367,3.780060935
Apogon apogonides,0.00646,3.19
Apogon apogonoides,0.00646,3.19
Apogon atradorsatus,0.0304,3.03
Apogon atricaudus,0.01047,3.1
Apogon aureus,0.006371984,3.508710374
Apogon binotatus,0.013085,3.0865
Apogon capricornis,0.01096,3.11
Apogon chrysotaenia,0.01096,3.11
Apogon coccineus,0.01544933,3.121264237
Apogon compressus,0.018548308,2.984148205
Apogon cookii,0.005758645,3.689138439
Apogon cyanosoma,0.007380934,3.563283922
Apogon doederleini,0.01413,3.16
Apogon dovii,0.01047,3.1
Apogon erythrinus,9.20E-06,3.27
Apogon exostigma,0.016350922,3.068793136
Apogon flavus,0.01096,3.11
Apogon fraenatus,0.013015533,3.165288184
Apogon fragilis,0.01544933,3.121264237
Apogon fuscus,0.040677193,2.69862559
Apogon gilberti,0.01544933,3.121264237
Apogon guamensis,0.01544933,3.121264237
Apogon imberbis,2.28E-05,2.9434
Apogon kallopterus,2.80E-05,3.03
Apogon lachneri,0.01047,3.1
Apogon leptacanthus,0.01544933,3.121264237
Apogon limenus,0.01096,3.11
Apogon maculatus,0.012965,3.0815
Apogon multilineatus,0.00646,3.19
Apogon nigrofasciatus,0.01096,3.11
Apogon norfolcensis,0.012148768,3.193543794
Apogon novemfasciatus,0.008627678,3.413551801
Apogon pacificus,0.01023,3.09
Apogon pseudomaculatus,2.28E-05,2.9434
Apogon quadrisquamatus,0.0157,3.073
Apogon retrosella,0.01122,3.12
Apogon semiornatus,0.01549,3.06
Apogon sp,0.01096,3.11
Apogon sp,2.28E-05,2.9434
Apogon townsendi,0.013085,3.0865
Apogon trimaculatus,0.021736421,2.971423817
Apogon urostigma,0.01096,3.11
Apogon zoramia,0.01096,3.11
Apogonichthyoides pseudotaeniatus,0.01096,3.11
Apogonichthyoides timorensis,0.01096,3.11
Apolemichthys trimaculatus,0.0302,2.89
Apolemichthys xanthotis,0.0302,2.89
Aprion virescens,0.022966753,2.886269439
Apsilus fuscus,0.0093,2.88
Apterichtus equatorialis,0.00138,2.92
Archamia bleekeri,0.01549,3.06
Archamia fucata,0.008914977,3.322777975
Archamia leai,0.007229283,3.479846469
Archamia macroptera,0.01549,3.06
Archamia zosterophora,0.008349154,3.395343626
Archosargus rhomboidalis,0.0215,2.96
Arothron caeruleopunctatus,0.02692,2.88
Arothron hispidus,0.057,2.801
Arothron immaculatus,0.035097602,2.844642684
Arothron manilensis,0.027803823,2.87855598
Arothron mappa,0.02692,2.88
Arothron meleagris,0.057,2.801
Arothron nigropunctatus,0.977113867,1.932477362
Arothron sp,0.027803823,2.87855598
Arothron stellatus,0.04467,2.85
Aspidontus dussumieri,0.0055,3.05
Aspidontus taeniatus,0.003838169,3.475321413
Assessor flavissimus,0.00468,3.18
Assessor macneilli,0.01096,2.98
Asterropteryx atripes,0.00589,3.1
Asterropteryx semipunctata,1.552945,1.552945
Asterropteryx striata,0.00589,3.1
Astroscopus zephyreus,0.00447,3.14
Atherinomorus stipes,0.0079,3.1938
Atherinomorus vaigiensis,0.00525,3.11
Atrosalarias fuscus,0.014905494,3.017856658
Atrosalarias holomelas,0.01023,3.01
Atule mate,0.0153521,2.954356517
Atypichthys latus,0.02291,2.99
Atypichthys strigatus,0.02291,2.99
Aulostomus chinensis,2.00E-04,3.5144
Aulostomus maculatus,1.048746667,2.002746667
Aulostomus strigosus,0.00122,3.327
Auxis thazard,0.00955,3.06
Axoclinus cocoensis,0.0078,3.04855
Axoclinus lucillae,0.0055,3.08
Axoclinus rubinoffi,0.0055,3.08
Axoclinus storeyae,0.0055,3.08
Balistapus undulatus,0.017058814,3.261009335
Balistes capriscus,0.02221,2.921
Balistes polylepis,0.0493,2.805
Balistes punctatus,0.024,2.942
Balistes vetula,0.0205,3.064
Balistoides conspicillum,0.021567869,3.032746539
Balistoides viridescens,0.025300575,3.006641192
Bathygobius soporator,0.0109,3.09
Bathygobius sp,0.0109,3.09
Bathystethus cultratus,0.01514,3
Belon NA,0.00102,3.04
Belonoperca chabanaudi,0.01,3.23
Blenniella chrysospilos,1.503705,1.503705
Blenniella gibbifrons,2.57E-05,2.91
Blenny species,0.0101,3.0171
Bodianus albotaeniatus,0.01349,3.05
Bodianus anthioides,0.01081521,3.173051905
Bodianus axillaris,0.011281303,3.141525476
Bodianus bilunulatus,2.30E-05,3.1
Bodianus diana,0.01,3.17
Bodianus dictynna,0.01349,3.05
Bodianus diplotaenia,0.029045,2.905
Bodianus eclancheri,0.01349,3.05
Bodianus insularis,0.0446,2.76
Bodianus loxozonus,0.01081521,3.173051905
Bodianus mesothorax,0.012152605,3.111525953
Bodianus perditio,0.01,3.15
Bodianus pulchellus,0.029045,2.905
Bodianus rufus,0.780798392,2.219273392
Bodianus sp,0.01349,3.05
Bodianus speciosus,0.0446,2.76
Bolbometopon muricatum,0.018183484,3.010341168
Bothus leopardinus,0.01122,2.99
Bothus lunatus,6.35E-06,3.1894
Bothus mancus,5.37E-05,2.8
Bothus ocellatus,6.35E-06,3.1894
Bothus pantherinus,0.005554514,3.410419625
Brotula multibarbata,0.0038,3.13
Bryaninops amplus,0.00589,3.1
Bryaninops erythrops,0.00589,3.1
Bryaninops loki,0.00589,3.1
Bryaninops natans,0.017945,2.86
Bryaninops nexus,0.00589,3.1
Bryaninops yongei,0.00589,3.1
Caesio caerulaurea,0.019962387,2.991405691
Caesio cuning,0.015361285,3.100666217
Caesio lunaris,0.00928912,3.252730667
Caesio sp,0.01259,3.09
Caesio sp1,0.01259,3.09
Caesio suevica,0.01259,3.09
Caesio teres,0.00928912,3.252730667
Caesio varilineata,0.01259,3.09
Caesio xanthonota,0.01093956,3.171365334
Calamus bajonado,0.02754,2.91
Calamus brachysomus,1.476789661,1.476789661
Calamus calamus,6.78E-05,2.8009
Calamus penna,0.0221,2.99
Calamus pennatula,0.01911,3.025
Calamus proridens,0.02754,2.91
Calamus taurinus,0.02239,2.94
Callionymus bairdi,2.97E-07,3.84
Callogobius sclateri,0.026387532,2.622565603
Calloplesiops altivelis,0.01995,3.01
Calotomus carolinus,0.022236967,2.970682336
Calotomus spinidens,0.017128484,3.050341168
Calotomus viridescens,0.01995,3.01
Cantherhines dumerilii,0.0561,2.653
Cantherhines fronticinctus,0.02188,2.91
Cantherhines longicaudus,0.113562278,2.59
Cantherhines macroceros,0.000124825,2.6534
Cantherhines macrocerus,0.02399,2.88
Cantherhines pardalis,0.01738,2.91
Cantherhines pullus,0.000186982,2.5632
Cantherhines rapanui,0.0406,2.79
Cantherhines sandwichiensis,0.00029,2.59
Cantheschenia grandisquamis,0.02188,2.91
Canthidermis maculata,0.03315,2.866
Canthidermis sufflamen,1.55E-05,3.0554
Canthigaster amboinensis,0.042376622,2.822020793
Canthigaster axiologus,0.02818,2.94
Canthigaster bennetti,0.035278311,2.881010397
Canthigaster callisterna,0.02818,2.94
Canthigaster capistrata,0.03024,2.94665
Canthigaster compressa,0.03715,2.95
Canthigaster coronata,0.00025,2.63
Canthigaster epilampra,0.02818,2.94
Canthigaster figueiredoi,0.03024,2.94665
Canthigaster jactator,0.00025,2.63
Canthigaster janthinoptera,0.035111656,2.890207698
Canthigaster natalensis,0.02818,2.94
Canthigaster ocellicincta,0.04,2.82
Canthigaster papua,0.03548,2.92
Canthigaster punctatissima,0.021845,3.009405
Canthigaster rostrata,0.02394,2.9287
Canthigaster smithae,0.02818,2.94
Canthigaster solandri,0.029890644,2.978805797
Canthigaster sp,0.02818,2.94
Canthigaster supramacula,0.0323,2.9533
Canthigaster tyleri,0.02818,2.94
Canthigaster valentini,0.035624374,2.924397808
Caracanthus maculatus,1.021216667,2.009983333
Caracanthus madagascariensis,0.01995,3.01
Caracanthus typicus,0.00023984,2.79
Caracanthus unipinna,0.01995,3.01
Carangoides bajad,0.01175,2.91
Carangoides bartholomaei,3.20E-05,2.9085
Carangoides chrysophrys,0.023548574,2.905974475
Carangoides ferdau,0.030972833,2.890577716
Carangoides fulvoguttatus,0.0195,2.92
Carangoides gymnostethus,0.02455,2.92
Carangoides oblongus,0.01862,2.94
Carangoides orthogrammus,0.015592989,3.025617907
Carangoides plagiotaenia,0.04,2.81
Carangoides ruber,0.01174,2.849
Caranx caballus,0.02031,2.9925
Caranx caninus,0.02138,3
Caranx crysos,0.038833333,2.744333333
Caranx heberi,0.020259898,2.941394346
Caranx ignobilis,0.016383141,3.058693265
Caranx latus,0.01999,2.90315
Caranx lugubris,0.0187,2.9
Caranx melampygus,0.027065284,3.00036304
Caranx papuensis,0.020259898,2.941394346
Caranx ruber,4.28E-06,3.237
Caranx sexfasciatus,0.0329,2.885
Caranx sp,0.020259898,2.941394346
Caranx tille,0.020259898,2.941394346
Carcharhinus albimarginatus,0.006848313,3.07
Carcharhinus amblyrhynchos,7.84E-06,3.05
Carcharhinus galapagensis,0.008796625,3.05
Carcharhinus melanopterus,1.034029053,2.202850566
Carcharhinus perezii,1.00E-04,4.268
Carcharias taurus,0.01072,3.03
Caulolatilus princeps,1.519478115,1.519478115
Centropomus undecimalis,0.0104,2.91
Centropyge acanthops,0.0302,2.89
Centropyge argi,0.0308,2.84475
Centropyge aurantonotus,0.092,2.458
Centropyge bicolor,0.761718227,2.014831567
Centropyge bispinosa,0.062154844,2.60399343
Centropyge eibli,0.0302,2.89
Centropyge ferrugata,0.0302,2.89
Centropyge fisheri,0.00035,2.63
Centropyge flavissima,0.074481017,2.576934376
Centropyge heraldi,0.761718227,2.014831567
Centropyge hotumatua,0.059733333,2.6823
Centropyge joculator,0.0302,2.89
Centropyge loricula,0.149302832,2.63
Centropyge multispinis,0.0302,2.89
Centropyge nox,0.0302,2.89
Centropyge potteri,0.00035,2.63
Centropyge tibicen,0.041555348,2.822256905
Centropyge vrolicki,0.074481017,2.576934376
Centropyge vrolikii,0.0302,2.89
Cephalopholis argus,0.009292998,3.180742513
Cephalopholis boenak,0.01288,3.05
Cephalopholis colonus,0.0252,2.79
Cephalopholis cruentata,0.01166,3.076
Cephalopholis cyanostigma,0.01622,3.07
Cephalopholis formosa,0.00871,2.99
Cephalopholis fulva,0.012933333,3.049333333
Cephalopholis furcifer,0.0149,2.8633
Cephalopholis hemistiktos,1.535877722,1.535877722
Cephalopholis leopardus,1.02773753,2.060367276
Cephalopholis microprion,0.014028573,3.104673192
Cephalopholis miniata,0.010985258,3.088033549
Cephalopholis nigri,0.0114,3.128
Cephalopholis nigripinnis,0.012933333,3.049333333
Cephalopholis panamensis,0.0217,3.035
Cephalopholis sexmaculata,1.535877722,1.535877722
Cephalopholis sonnerati,0.01349,3.1
Cephalopholis sp,0.012933333,3.049333333
Cephalopholis spiloparaea,0.013075,3.09705
Cephalopholis taeniops,0.0067,3.2384
Cephalopholis urodeta,0.024615715,2.873875176
Cetoscarus bicolor,1.028788989,2.011604112
Cetoscarus ocellatus,0.018183484,3.010341168
Chaenomugil proboscideus,0.01148,2.97
Chaenopsis limbaughi,0.0077,2.962
Chaenopsis ocellata,0.0077,2.962
Chaenopsis sp,0.0077,2.962
Chaetodipterus faber,0.036938773,2.732666667
Chaetodipterus zonatus,0.01479,2.89
Chaetodon adiergastos,0.02291,3.01
Chaetodon andamanensis,0.02291,3.01
Chaetodon argentatus,0.02291,3.01
Chaetodon assarius,0.02291,3.01
Chaetodon aureofasciatus,0.02291,3.01
Chaetodon auriga,0.040397085,2.829430605
Chaetodon auripes,0.02291,3.01
Chaetodon austriacus,0.02291,3.01
Chaetodon baronessa,0.034224055,2.912079298
Chaetodon bennetti,0.033594988,2.921692887
Chaetodon blackburnii,0.02291,3.01
Chaetodon capistratus,0.03606,2.975
Chaetodon citrinellus,0.032736248,2.871379252
Chaetodon collare,0.02291,3.01
Chaetodon decussatus,1.517747353,1.517747353
Chaetodon dolosus,0.02291,3.01
Chaetodon ephippium,0.022485473,3.060921521
Chaetodon falcula,0.02291,3.01
Chaetodon fasciatus,0.02291,3.01
Chaetodon flavirostris,0.025448877,3.074082497
Chaetodon fremblii,9.50E-05,2.84
Chaetodon guentheri,0.02291,3.01
Chaetodon guttatissimus,0.02291,3.01
Chaetodon humeralis,0.02188,3.01
Chaetodon interruptus,0.02291,3.01
Chaetodon kleinii,0.045008109,2.814158595
Chaetodon lineolatus,0.069264822,2.621506842
Chaetodon litus,0.024805,3.03
Chaetodon lunula,0.045008109,2.814158595
Chaetodon lunulatus,0.031101049,2.975659108
Chaetodon madagaskariensis,0.02291,3.01
Chaetodon melannotus,0.026534465,3.032866667
Chaetodon mertensii,0.010328932,3.612127355
Chaetodon meyeri,0.02291,3.01
Chaetodon miliaris,7.70E-05,2.89
Chaetodon mitratus,0.02291,3.01
Chaetodon multicinctus,4.90E-05,3.01
Chaetodon ocellatus,3.30E-05,2.9838
Chaetodon ocellicaudus,0.02291,3.01
Chaetodon octofasciatus,0.02291,3.01
Chaetodon ornatissimus,0.045008109,2.814158595
Chaetodon oxycephalus,0.02291,3.01
Chaetodon paucifasciatus,0.02291,3.01
Chaetodon pelewensis,0.017886555,3.228296843
Chaetodon plebeius,0.048386869,2.70927234
Chaetodon punctatofasciatus,0.02291,3.01
Chaetodon quadrimaculatus,2.90E-05,3.16
Chaetodon rafflesii,0.033959055,2.912079298
Chaetodon rainfordi,0.02291,3.01
Chaetodon reticulatus,0.045008109,2.814158595
Chaetodon robustus,2.11E-05,3.076
Chaetodon sedentarius,2.11E-05,3.076
Chaetodon semeion,0.033959055,2.912079298
Chaetodon semilarvatus,0.02291,3.01
Chaetodon smithi,0.0533,2.833
Chaetodon sp,0.02291,3.01
Chaetodon speculum,0.054023697,2.784340793
Chaetodon striatus,0.02453,3.05
Chaetodon triangulum,0.02291,3.01
Chaetodon trichrous,0.02291,3.01
Chaetodon tricinctus,0.02291,3.01
Chaetodon trifascialis,0.025718998,2.966359021
Chaetodon trifasciatus,0.02344,3.06
Chaetodon ulietensis,0.028540394,2.899559142
Chaetodon unimaculatus,0.053302895,2.833278557
Chaetodon vagabundus,0.025901775,2.9778216
Chaetodon wiebeli,0.02291,3.01
Chaetodon xanthocephalus,0.02291,3.01
Chaetodon xanthurus,0.02291,3.01
Chaetodon zanzibarensis,0.02291,3.01
Chaetodontoplus conspicillatus,0.0302,2.89
Chaetodontoplus duboulayi,0.0302,2.89
Chaetodontoplus meredithi,0.0302,2.89
Chaetodontoplus mesoleucus,0.0302,2.89
Chaetodontoplus personifer,0.0302,2.89
Channomuraena vittata,7.00E-04,3.24
Chanos chanos,0.00474,3.38911
Cheilinus abudjubbe,0.01995,2.99
Cheilinus chlorourus,0.019448186,2.977717223
Cheilinus fasciatus,1.004035611,2.018171834
Cheilinus lunulatus,0.01995,2.99
Cheilinus oxycephalus,0.017496093,3.022638982
Cheilinus sp,0.01995,2.99
Cheilinus trilobatus,0.018427562,3.039823326
Cheilinus undulatus,0.012266525,3.088734041
Cheilio inermis,0.003490727,3.081569135
Cheilodactylus ephippium,0.01202,3.02
Cheilodactylus francisi,0.01,3.04
Cheilodactylus vestitus,0.01202,3.02
Cheilodactylus vittatus,0.01202,3.02
Cheilodipterus arabicus,0.008255774,0.008255774
Cheilodipterus artus,0.008624944,3.365080761
Cheilodipterus intermedius,0.00646,3.19
Cheilodipterus isostigmus,0.00646,3.19
Cheilodipterus lachneri,0.006698523,3.543885837
Cheilodipterus macrodon,0.008849645,3.301402284
Cheilodipterus parazonatus,0.00646,3.19
Cheilodipterus quinquelineatus,0.016071637,2.999229198
Cheilodipterus singapurensis,0.00724,3.3
Cheiloprion labiatus,0.02,3.19
Chelmon marginalis,0.02188,3.02
Chelmon rostratus,0.01148,3.09
Chelmonops truncatus,0.02188,3.02
Chelon bispinosus,0.0108,2.948
Chilomycterus affinis,0.0309,2.89
Chilomycterus antennatus,0.0309,2.89
Chilomycterus reticulatus,0.212301779,2.486666667
Chilomycterus spinosus,0.254005337,2.38
Chiloscyllium punctatum,0.00355,3.14
Chironemus marmoratus,0.01023,3.05
Chloroscombrus chrysurus,0.007828378,3.109
Chlorurus atrilunula,0.01413,3.05
Chlorurus bleekeri,0.023141939,2.983231562
Chlorurus bowersi,0.00741,3.11
Chlorurus capistratoides,0.01413,3.05
Chlorurus frontalis,0.023373877,2.956463124
Chlorurus gibbus,0.01413,3.05
Chlorurus japanensis,0.01413,3.05
Chlorurus microrhinos,0.024694091,2.955475758
Chlorurus perspicillatus,4.60E-05,2.98
Chlorurus rhakoura,0.01413,3.05
Chlorurus sordidus,0.024311416,2.969306281
Chlorurus spilurus,0.01413,3.05
Chlorurus strongylocephalus,0.01413,3.05
Choerodon anchorago,0.02138,3.11
Choerodon cauteroma,0.01698,3.03
Choerodon cephalotes,0.01349,3.05
Choerodon cyanodus,0.01349,3.05
Choerodon fasciatus,0.01430055,3.086241249
Choerodon graphicus,0.01605004,3.075987793
Choerodon jordani,0.01430055,3.086241249
Choerodon monostigma,0.01349,3.05
Choerodon rubescens,0.01698,3.03
Choerodon schoenleinii,1.531738066,1.531738066
Choerodon vitta,0.01349,3.05
Chromileptes altivelis,0.01318,3.14
Chromis abrupta,0.0182,3
Chromis acares,0.02,3.18
Chromis agilis,0.022859092,3.17522814
Chromis alpha,0.02,3.18
Chromis alta,0.0182,3
Chromis amboinensis,0.022859092,3.17522814
Chromis analis,0.0182,3
Chromis atrilobata,0.02286,3.17523
Chromis atripectoralis,0.017909534,3.290729357
Chromis atripes,1.011566971,2.062356654
Chromis bami,0.045930149,2.99
Chromis caudalis,0.0182,3
Chromis chrysura,0.022822996,3.222324262
Chromis cinerascens,0.01479,2.99
Chromis crusma,0.0182,2.94
Chromis cyanea,0.017595,2.9737
Chromis dasygenys,0.0182,3
Chromis delta,0.0182,3
Chromis dimidiata,0.0182,3
Chromis elerae,0.01479,2.99
Chromis flavaxilla,0.0182,3
Chromis flavicauda,0.0052,3.4166
Chromis flavipectoralis,0.0182,3
Chromis flavomaculata,0.022859092,3.17522814
Chromis fumea,0.014440366,3.351374902
Chromis hanui,4.70E-05,2.99
Chromis hypsilepis,0.01479,2.99
Chromis insolata,0.01479,2.99
Chromis iomelas,0.015048996,3.382927044
Chromis jubauna,0.0052,3.4166
Chromis lepidolepis,0.194983801,1.9385
Chromis limbata,0.014495,3.024
Chromis limbaughi,0.01622,2.97
Chromis lineata,0.0182,3
Chromis lubbocki,0.0052,3.4166
Chromis margaritifer,0.022859092,3.17522814
Chromis multilineata,0.013463333,3.1212
Chromis nigrura,1.505920911,1.505920911
Chromis nitida,0.01479,2.99
Chromis notata,0.0182,3
Chromis opercularis,0.01479,2.99
Chromis ovalis,4.70E-05,2.99
Chromis pamae,0.0179,3.2907
Chromis pelloura,0.0182,3
Chromis pembae,0.0182,3
Chromis randalli,0.0179,3.29
Chromis retrofasciata,0.018999546,3.05261407
Chromis scotochiloptera,0.0182,3
Chromis scotti,0.0182,3
Chromis sp,0.0182,3
Chromis ternatensis,0.015971468,3.408002672
Chromis vanderbilti,0.022859092,3.17522814
Chromis verater,4.70E-05,2.99
Chromis viridis,0.035072347,2.899651752
Chromis weberi,1.011566971,2.062356654
Chromis xanthochira,0.020529546,3.08761407
Chromis xanthura,0.022859092,3.17522814
Chromis xutha,0.0182,3
Chrysiptera biocellata,0.025946838,2.926389596
Chrysiptera bleekeri,0.01479,2.99
Chrysiptera brownriggii,0.020368419,2.958194798
Chrysiptera caesifrons,0.02239,2.99
Chrysiptera cyanea,0.022395,2.96
Chrysiptera cymatilis,0.022395,2.96
Chrysiptera flavipinnis,0.01479,2.99
Chrysiptera galba,0.025946838,2.926389596
Chrysiptera glauca,0.763003371,2.232689061
Chrysiptera hemicyanea,0.01479,2.99
Chrysiptera notialis,0.01479,2.99
Chrysiptera oxycephala,0.02239,2.99
Chrysiptera parasema,0.01479,2.99
Chrysiptera rapanui,0.022,3
Chrysiptera rex,0.03,2.93
Chrysiptera rollandi,0.025946838,2.926389596
Chrysiptera springeri,0.02239,2.99
Chrysiptera starcki,0.03,2.93
Chrysiptera talboti,0.01479,2.99
Chrysiptera taupou,0.021988607,3.001146438
Chrysiptera traceyi,0.01479,2.99
Chrysiptera tricincta,0.020368419,2.958194798
Chrysiptera unimaculata,0.020368419,2.958194798
